O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,state_city,constituency_from_link
1,Kamlesh Chandra Diwakar,Samajwadi Party,3833,3098,3775,2553,2563,1973,2238,3562,2357,2267,2473,2561,2509,1743,2580,1236,3456,2006,3036,2027,1434,2532,1954,2102,2240,2405,1495,1889,1694,313,Uttar Pradesh-Rasulabad,Rasulabad 
2,Poonam Sankhwar,Bharatiya Janata Party,1806,2426,2077,3275,3072,2890,2855,3631,3893,2901,1963,3490,3298,3054,3287,3946,3429,3012,3700,3465,4005,4070,3816,3244,2012,4364,2038,3995,2435,112,Uttar Pradesh-Rasulabad,Rasulabad 
3,Manorama,Indian National Congress,26,28,45,47,44,68,50,66,42,34,30,40,36,53,34,40,37,52,70,44,46,58,51,44,46,65,36,43,30,0,Uttar Pradesh-Rasulabad,Rasulabad 
4,Sima Singh,Bahujan Samaj Party,902,998,894,732,1385,1512,957,721,1067,1594,939,741,452,777,490,737,565,1177,1085,708,661,929,685,722,1340,559,1722,956,2000,97,Uttar Pradesh-Rasulabad,Rasulabad 
5,Om Prakash,Bahujan Mukti Party,12,10,11,17,14,19,15,15,12,23,8,13,8,8,17,9,8,11,12,17,14,15,30,27,10,5,16,20,19,2,Uttar Pradesh-Rasulabad,Rasulabad 
6,Rakesh Babu,Voters Party International,19,1,2,13,11,9,8,13,6,11,8,11,5,13,4,10,0,15,8,17,5,11,12,11,10,3,3,5,11,0,Uttar Pradesh-Rasulabad,Rasulabad 
7,B.D. Kamalvanshi,Independent,10,14,19,18,13,23,28,17,16,23,8,17,15,17,14,22,9,18,23,23,15,15,11,16,20,6,22,22,25,4,Uttar Pradesh-Rasulabad,Rasulabad 
8,Neelam,Independent,11,6,5,7,14,97,20,14,10,13,7,10,10,20,9,9,2,40,11,16,14,18,59,18,10,15,6,10,18,0,Uttar Pradesh-Rasulabad,Rasulabad 
9,Ram Sajeevan,Independent,6,13,9,12,8,21,13,14,13,18,6,10,6,12,13,11,7,15,16,18,10,12,8,10,15,11,15,9,25,1,Uttar Pradesh-Rasulabad,Rasulabad 
10,Ram Sumer,Independent,6,9,10,11,13,12,15,18,12,23,9,22,16,19,9,10,13,14,14,39,14,11,16,11,11,6,20,27,9,2,Uttar Pradesh-Rasulabad,Rasulabad 
11,Santoshi Lal Kamal,Independent,19,22,21,40,31,28,42,40,25,60,35,37,38,29,26,36,27,31,49,48,31,35,34,35,23,23,13,49,25,2,Uttar Pradesh-Rasulabad,Rasulabad 
12,NOTA,None of the Above,30,38,31,52,55,56,32,64,38,47,45,48,40,27,33,54,40,32,72,63,45,56,44,55,43,33,34,55,34,2,Uttar Pradesh-Rasulabad,Rasulabad 
