O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,state_city,constituency_from_link
1,AVINASH KUSHWAHA,Samajwadi Party,2491,1909,1882,2390,2235,3181,2875,2835,2669,2271,2045,2251,3436,3135,2176,2225,2781,3162,2726,2250,2546,2554,2928,2508,3055,3812,2735,2049,3383,1954,Uttar Pradesh-Robertsganj,Robertsganj
2,AVINASH SHUKLA,Bahujan Samaj Party,1532,503,367,528,1561,913,1009,1999,1485,1950,1404,1323,1226,1082,1820,957,1783,1350,1008,1138,1250,774,535,563,774,1244,609,1015,556,541,Uttar Pradesh-Robertsganj,Robertsganj
3,Kamlesh Kumar,Indian National Congress,89,61,73,64,85,55,73,80,74,72,219,85,96,76,107,59,42,55,59,72,109,82,87,105,77,136,63,93,72,58,Uttar Pradesh-Robertsganj,Robertsganj
4,Bhupesh Chaubey,Bharatiya Janata Party,1855,2866,3303,3407,3022,2356,3129,2831,2584,1945,2367,3545,3362,2734,3393,3030,2070,2398,2837,1900,2723,2474,2334,3267,2992,3005,2622,2895,3540,3568,Uttar Pradesh-Robertsganj,Robertsganj
5,Vijay Shanker Yadav,Communist Party of India,24,16,16,37,63,76,52,49,39,29,42,70,156,100,97,86,59,73,94,92,161,134,59,149,135,117,84,122,146,180,Uttar Pradesh-Robertsganj,Robertsganj
6,Athar,Peace Party,9,13,14,6,13,16,10,14,9,6,17,17,29,33,17,22,12,17,26,26,36,40,19,33,36,39,30,34,52,46,Uttar Pradesh-Robertsganj,Robertsganj
7,Kiran Devi,Jan Adhikar Party,144,5,3,14,17,67,49,24,32,10,44,29,36,37,68,37,15,18,28,41,29,27,21,31,23,34,16,45,57,46,Uttar Pradesh-Robertsganj,Robertsganj
8,Kuldeep Agrawal,Aam Aadmi Party,17,9,20,11,24,32,36,31,27,23,18,14,42,41,33,30,24,30,35,35,78,57,41,72,68,49,24,58,91,55,Uttar Pradesh-Robertsganj,Robertsganj
9,HARENDRA MISHRA,"Rashtrawadi Party of India,",14,4,8,14,14,32,9,25,26,23,19,11,34,38,28,20,23,14,21,23,43,39,24,52,42,39,19,32,42,38,Uttar Pradesh-Robertsganj,Robertsganj
10,Om Prakash,Independent,25,9,3,18,23,49,28,53,35,31,27,27,57,53,39,30,27,21,32,39,76,67,27,65,53,66,27,50,55,67,Uttar Pradesh-Robertsganj,Robertsganj
11,NOTA,None of the Above,59,38,31,59,79,133,93,99,91,72,77,73,196,192,113,114,93,80,103,122,189,215,85,268,182,157,85,121,222,171,Uttar Pradesh-Robertsganj,Robertsganj
