O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,state_city,constituency_from_link
1,ARUN SINGH PATEL,Bahujan Samaj Party,1357,1083,321,593,1159,1742,508,1000,1039,1007,696,1152,756,823,589,806,410,1545,808,908,320,793,368,495,335,669,1144,1119,521,678,584,553,345,Uttar Pradesh-Rohaniya,Rohaniya
2,RAJESHWAR SINGH PATEL,Indian National Congress,295,323,278,417,292,345,637,626,454,422,508,346,354,428,838,602,638,403,544,378,665,613,774,614,425,754,566,629,486,541,844,428,203,Uttar Pradesh-Rohaniya,Rohaniya
3,ABHAY PATEL,Apna Dal (Kamerawadi),2401,2354,3391,4158,1616,2681,3017,2241,1671,2790,2269,2282,2284,3397,1760,2154,1330,2987,1289,3041,1817,1575,1493,950,2106,2147,2465,2133,2016,1106,1967,1858,982,Uttar Pradesh-Rohaniya,Rohaniya
4,AMIT PURI,Apna Bharatiya Sanatan Party,52,38,43,67,29,34,55,55,33,72,45,30,31,65,48,35,21,55,31,54,31,53,37,18,25,43,63,45,33,21,34,64,82,Uttar Pradesh-Rohaniya,Rohaniya
5,URMILA DEVI,Bahujan Mukti Party,58,46,54,34,51,42,36,47,28,72,33,43,36,56,30,31,15,37,33,36,37,26,30,27,63,50,61,42,37,29,27,29,26,Uttar Pradesh-Rohaniya,Rohaniya
6,PALLAVI VERMA,Aam Aadmi Party,65,77,24,47,51,69,55,58,43,90,76,62,43,54,110,81,113,49,76,58,64,78,69,33,60,58,82,95,72,63,101,64,42,Uttar Pradesh-Rohaniya,Rohaniya
7,DR. SUNIL PATEL,Apna Dal (Soneylal),3159,3738,2192,2905,4175,2517,3746,4115,3667,4759,3627,3169,3649,3297,4501,3666,2187,2803,3922,2485,4159,3507,4402,4051,3209,3897,3630,4061,3924,3618,3279,3891,4422,Uttar Pradesh-Rohaniya,Rohaniya
8,SUSHIL KASHYAP,Janata Dal (United),47,42,24,39,46,34,48,59,59,61,36,47,41,63,45,32,12,48,47,33,44,31,20,34,42,44,55,47,55,31,25,32,42,Uttar Pradesh-Rohaniya,Rohaniya
9,SANJIV,Peoples Party of India (Democratic),120,100,63,80,95,75,104,121,64,151,80,93,75,89,66,68,32,114,63,96,73,60,60,41,66,67,119,93,63,36,52,92,85,Uttar Pradesh-Rohaniya,Rohaniya
10,RAJAN KUMAR SINGH,Independent,24,30,14,30,19,23,25,34,27,39,30,21,16,25,27,14,14,30,16,20,24,18,23,16,18,37,40,37,23,18,19,32,29,Uttar Pradesh-Rohaniya,Rohaniya
11,NOTA,None of the Above,97,66,77,115,53,72,86,88,95,124,85,86,88,103,123,77,66,96,91,97,73,89,82,80,75,94,113,93,84,89,75,102,122,Uttar Pradesh-Rohaniya,Rohaniya
