O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,state_city,constituency_from_link
1,AKHILESH PRATAP SINGH,Indian National Congress,1189,651,859,1191,1295,2350,2205,1101,1261,1487,1311,982,710,1006,734,1671,1031,1991,1472,535,630,739,1289,874,770,970,642,Uttar Pradesh-Rudrapur,Rudrapur
2,JAI PRAKASH NISHAD,Bharatiya Janata Party,2178,1793,2295,2572,2092,2110,2737,3996,3300,3275,3296,3942,2902,3301,3439,3173,3566,4473,3481,2391,2017,2339,2174,3408,2254,3694,1792,Uttar Pradesh-Rudrapur,Rudrapur
3,RAMBHUAL NISHAD,Samajwadi Party,1566,1068,1257,927,1053,786,1138,1465,1528,1609,1606,1200,1243,1642,1798,1200,521,792,824,1293,1694,1594,1784,1750,1799,1616,1223,Uttar Pradesh-Rudrapur,Rudrapur
4,SURESH TIWARI,Bahujan Samaj Party,978,1661,891,1267,894,577,708,755,872,587,814,942,923,487,688,800,423,247,729,690,517,780,339,503,624,903,421,Uttar Pradesh-Rudrapur,Rudrapur
5,KAMLESH KUMAR CHAURASIYA,Bahujan Mukti Party,19,21,18,35,12,11,19,67,16,14,15,13,17,22,26,19,7,4,13,20,18,15,5,24,18,47,20,Uttar Pradesh-Rudrapur,Rudrapur
6,NARSINGH PAL,Aam Janta Party (India),19,8,2,8,2,10,4,6,12,4,9,13,11,10,17,12,3,5,12,9,4,5,5,7,9,9,12,Uttar Pradesh-Rudrapur,Rudrapur
7,MANOJ PAL,Jan Adhikar Party,11,26,19,28,14,16,15,21,17,15,18,12,12,19,15,20,12,18,28,35,9,18,95,89,12,24,25,Uttar Pradesh-Rudrapur,Rudrapur
8,RAJENDRA PRASAD NISHAD,Aam Aadmi Party,9,9,9,4,7,8,34,12,19,11,10,11,14,14,10,6,8,3,7,4,6,4,7,5,8,8,6,Uttar Pradesh-Rudrapur,Rudrapur
9,RAMBRIKSH RAO,Bhartiya Sarvjan Party,5,13,10,12,10,5,7,5,5,8,10,23,7,13,21,4,6,7,5,7,8,7,2,19,7,12,2,Uttar Pradesh-Rudrapur,Rudrapur
10,SANJAY PASWAN,Rastriya Hind Samaj Party,18,8,3,11,12,9,10,4,14,8,13,9,8,21,16,9,7,6,8,5,4,7,7,9,8,4,3,Uttar Pradesh-Rudrapur,Rudrapur
11,AMARJIT CHAUHAN,Independent,16,21,16,11,13,7,14,13,16,12,18,42,18,95,27,11,14,10,24,23,8,17,7,11,15,18,13,Uttar Pradesh-Rudrapur,Rudrapur
12,PRADEEP YADAV,Independent,255,694,643,183,197,150,177,267,106,189,68,134,381,312,450,502,439,303,1011,1049,419,474,294,300,374,94,115,Uttar Pradesh-Rudrapur,Rudrapur
13,SABBIR AHAMAD,Independent,54,37,48,60,35,40,54,37,53,33,33,61,36,64,74,54,21,33,44,42,47,40,27,49,47,43,22,Uttar Pradesh-Rudrapur,Rudrapur
14,SURENDRA NISHAD,Independent,39,27,31,34,27,45,43,27,48,33,35,46,35,60,79,50,23,19,39,41,27,25,44,109,31,35,25,Uttar Pradesh-Rudrapur,Rudrapur
15,NOTA,None of the Above,58,51,67,55,42,94,71,64,70,70,53,66,60,76,106,63,52,56,71,45,34,47,43,58,37,87,33,Uttar Pradesh-Rudrapur,Rudrapur
