O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,state_city,constituency_from_link
1,DR. AVIN SHARMA,Bahujan Samaj Party,1526,1015,1559,1236,1378,2401,1388,917,367,624,873,1311,555,599,1128,886,840,899,1580,1522,582,388,626,710,767,745,902,580,820,570,401,1372,1379,Uttar Pradesh-Sadabad,Sadabad
2,PRADEEP KUMAR SINGH,Rashtriya Lok Dal,2785,2562,3556,3026,4007,1573,1838,3571,2943,4395,3008,3484,4319,3988,4381,4434,3979,2967,1343,2033,3683,3172,3999,4842,3167,1613,4726,3298,2115,2496,4333,1794,609,Uttar Pradesh-Sadabad,Sadabad
3,MATHURA PRASAD,Indian National Congress,33,55,27,76,63,41,43,87,1013,38,53,77,96,94,56,36,95,38,37,36,31,53,41,75,79,36,43,54,52,64,60,78,8,Uttar Pradesh-Sadabad,Sadabad
4,RAMVEER UPADHYAY,Bharatiya Janata Party,2928,4000,2281,2561,4068,3156,3452,2337,3447,2892,2937,3220,2406,2494,2248,2292,2497,2896,4134,3554,2830,3900,2880,3053,3222,3178,2138,3301,2915,2363,2894,3684,1577,Uttar Pradesh-Sadabad,Sadabad
5,ARTI BHATT,Aam Aadmi Party,21,23,8,17,22,16,11,12,22,18,26,24,10,16,45,5,20,10,14,14,18,30,13,21,20,10,13,20,18,11,11,16,11,Uttar Pradesh-Sadabad,Sadabad
6,OMVEER SINGH,Bahujan Mukti Party,8,1,2,5,5,2,3,5,4,3,3,4,5,3,3,2,2,1,3,2,0,7,3,5,0,2,1,3,5,2,6,3,2,Uttar Pradesh-Sadabad,Sadabad
7,JITENDRA,Rashtriya Shoshit Samaj Party,3,3,8,3,11,2,9,7,9,18,3,8,8,13,7,2,6,9,4,6,2,5,4,4,3,3,2,3,2,3,0,3,2,Uttar Pradesh-Sadabad,Sadabad
8,RAJESH KUMAR,Swadeshi Hind Party,1,5,0,5,1,3,2,6,3,4,2,0,1,2,3,3,1,7,2,3,1,1,2,4,9,3,3,3,1,0,2,1,2,Uttar Pradesh-Sadabad,Sadabad
9,AVDHESH,Independent,2,7,11,4,4,2,1,8,4,4,3,7,7,3,1,3,3,2,5,5,4,5,3,4,2,1,3,2,3,5,4,7,0,Uttar Pradesh-Sadabad,Sadabad
10,NEM SINGH,Independent,2,5,10,10,5,7,10,10,11,6,4,6,6,4,8,6,8,10,5,8,6,12,9,10,8,2,8,4,6,8,11,11,5,Uttar Pradesh-Sadabad,Sadabad
11,PRAVEEN KUMAR,Independent,11,15,9,12,19,17,11,12,18,14,12,14,19,21,21,12,13,16,19,14,7,18,16,24,21,16,19,27,20,11,18,30,11,Uttar Pradesh-Sadabad,Sadabad
12,RAJESH KUMAR,Independent,9,3,6,7,5,14,5,12,19,8,7,6,10,11,10,7,12,15,8,8,6,7,7,9,17,5,10,5,11,8,16,14,4,Uttar Pradesh-Sadabad,Sadabad
13,SHASHIKANT,Independent,22,11,21,21,20,9,18,12,21,39,18,14,17,17,28,35,22,30,17,25,15,14,32,34,14,13,25,20,15,25,36,12,6,Uttar Pradesh-Sadabad,Sadabad
14,NOTA,None of the Above,39,38,28,22,36,35,23,25,25,27,21,34,21,22,37,38,21,36,22,33,28,24,41,38,34,10,28,28,24,41,30,35,29,Uttar Pradesh-Sadabad,Sadabad
