O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,state_city,constituency_from_link
1,BANDANA SINGH,Bharatiya Janata Party,1490,1806,1646,1161,2073,1837,1704,2529,2003,1959,1928,3075,2018,2342,1814,1757,2173,1546,1731,1422,1696,1278,1291,2641,2127,3057,3537,2987,2639,923,Uttar Pradesh-Sagri,Sagri
2,RANA KHATOON,Indian National Congress,44,38,47,48,35,40,35,63,61,59,40,57,50,45,36,34,52,23,24,33,59,48,49,46,70,64,67,67,33,22,Uttar Pradesh-Sagri,Sagri
3,SHANKAR YADAV,Bahujan Samaj Party,1728,1400,1501,1924,829,1118,1295,1185,987,1613,1266,1073,1041,1055,1299,1148,1993,2085,1483,1653,769,1908,1229,1229,1699,1264,856,1476,1217,1422,Uttar Pradesh-Sagri,Sagri
4,HRIDAY NARAYAN SINGH PATEL,Samajwadi Party,4115,2734,3189,3805,3014,2121,2591,2756,2179,2410,3231,2377,3054,2353,2994,2214,2384,2195,2827,3120,3442,3031,3016,2979,3139,1868,2459,2329,2602,1440,Uttar Pradesh-Sagri,Sagri
5,ABHIMANYU,Bahujan Mukti Party,41,24,20,33,31,20,22,26,12,45,28,39,42,13,96,45,26,31,27,16,23,25,11,23,24,21,10,34,22,7,Uttar Pradesh-Sagri,Sagri
6,AMIRCHAND RAMLAKHAN YADAV,Aazad Samaj Party (Kanshi Ram),15,13,25,25,9,11,17,25,10,16,12,8,10,6,11,19,10,6,5,9,10,12,3,10,6,6,8,13,12,5,Uttar Pradesh-Sagri,Sagri
7,NESAR,Peace Party,12,4,25,11,8,8,8,6,6,5,21,9,5,5,7,4,7,3,3,108,8,16,13,70,12,9,14,14,8,4,Uttar Pradesh-Sagri,Sagri
8,PANKAJ MAURYA,Jan Adhikar Party,15,213,307,35,11,14,124,16,22,39,8,28,29,6,4,43,14,12,40,158,45,523,203,152,108,38,122,52,22,5,Uttar Pradesh-Sagri,Sagri
9,MUKESH RAI,Aam Aadmi Party,7,5,2,5,15,17,9,49,47,9,23,13,15,22,15,12,23,35,92,44,24,10,4,7,19,21,8,6,8,0,Uttar Pradesh-Sagri,Sagri
10,VIRENDRA YADAV,Aam Janta Party (India),12,5,9,9,14,8,2,3,11,14,7,9,7,5,4,5,5,5,6,3,3,4,5,6,8,5,9,14,13,2,Uttar Pradesh-Sagri,Sagri
11,ISHRAK,Independent,8,11,7,7,12,5,10,11,10,16,9,6,8,4,10,7,8,5,8,11,16,15,4,7,4,10,11,14,8,1,Uttar Pradesh-Sagri,Sagri
12,CHANDRIKA,Independent,35,14,17,28,14,14,16,18,23,10,17,11,15,12,11,3,11,11,14,14,24,19,24,19,18,14,14,18,13,3,Uttar Pradesh-Sagri,Sagri
13,BABULAL BHARTI,Independent,61,35,41,39,32,32,32,35,39,43,31,29,37,35,32,38,44,32,35,27,31,44,28,36,50,46,35,50,42,18,Uttar Pradesh-Sagri,Sagri
14,SAHTU,Independent,27,21,8,36,15,10,14,20,14,23,17,8,14,12,7,10,21,13,10,15,15,18,10,12,17,15,7,17,14,5,Uttar Pradesh-Sagri,Sagri
15,NOTA,None of the Above,68,36,30,52,53,46,32,36,43,36,41,57,27,27,21,20,33,19,33,49,31,44,22,31,38,51,50,59,48,11,Uttar Pradesh-Sagri,Sagri
