O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,state_city,constituency_from_link
1,PRADEEP SHUKLA,Bharatiya Janata Party,3335,3534,3445,3252,3379,3714,3385,3290,2798,3501,1887,4203,4105,3258,2968,2375,2498,2971,3277,2868,3160,3259,3785,4497,4267,2998,3854,2451,2876,2293,3767,2488,1142,188,473,Uttar Pradesh-Sahajanwa,Sahajanwa
2,MANOJ YADAV,Indian National Congress,75,90,115,51,60,109,73,105,95,101,143,153,96,151,259,220,108,93,147,96,42,81,59,73,80,59,103,99,92,105,62,81,25,7,16,Uttar Pradesh-Sahajanwa,Sahajanwa
3,YASHPAL SINGH RAWAT,Samajwadi Party,1038,1537,1206,1496,1236,1638,1389,1663,1927,1892,2490,1901,2042,2601,3758,2731,2103,2929,1862,1159,995,2519,2244,1859,1300,1889,1841,1859,2122,2547,1293,1862,583,159,239,Uttar Pradesh-Sahajanwa,Sahajanwa
4,SUDHiR SINGH,Bahujan Samaj Party,1103,993,1489,1445,1320,1380,1465,1269,1533,1531,1442,1245,1220,2273,897,1479,966,1035,1513,1679,1745,2259,1557,1301,1436,1109,505,1585,1114,1028,1294,1172,242,39,68,Uttar Pradesh-Sahajanwa,Sahajanwa
5,PRASHANT RAM TRIPATHI,Lok Janshakti Party(Ram Vilas),14,14,13,16,10,18,7,14,9,10,12,19,14,18,28,21,18,20,14,12,12,16,19,16,21,17,11,34,14,19,12,71,4,0,1,Uttar Pradesh-Sahajanwa,Sahajanwa
6,PRAHALAD SINGH,Shiv Sena,17,12,6,6,6,9,6,16,21,14,17,8,14,5,7,4,4,3,12,7,3,9,7,5,3,10,8,11,11,15,4,10,7,1,0,Uttar Pradesh-Sahajanwa,Sahajanwa
7,MANOJ KUMAR,Vikassheel Insaan Party,39,28,72,7,8,10,34,31,12,24,7,3,18,9,7,9,7,13,53,26,44,9,14,40,31,51,57,230,79,24,30,13,121,2,0,Uttar Pradesh-Sahajanwa,Sahajanwa
8,RAMAKANT,Bahujan Mukti Party,5,9,13,4,4,7,3,15,3,12,6,11,5,4,10,14,3,6,7,14,3,5,7,14,4,8,10,19,11,13,15,5,3,1,2,Uttar Pradesh-Sahajanwa,Sahajanwa
9,RAKESH DUBEY,Bharatiya Apna Samaj Party,19,7,44,10,3,12,10,18,9,20,9,7,6,4,6,15,11,6,28,22,19,14,8,21,22,26,25,36,25,14,18,6,38,1,0,Uttar Pradesh-Sahajanwa,Sahajanwa
10,VIJAY ANAND UPADHYAY,Aam Aadmi Party,44,41,61,38,29,44,38,39,25,52,48,39,18,86,38,44,29,47,48,195,37,25,16,24,27,22,22,38,39,68,24,21,3,4,3,Uttar Pradesh-Sahajanwa,Sahajanwa
11,RAKESH SHUKLA,Independent,20,26,19,14,20,16,17,18,23,36,16,19,20,13,25,42,11,19,20,23,14,27,26,20,23,15,13,40,25,31,12,27,9,0,2,Uttar Pradesh-Sahajanwa,Sahajanwa
12,SRI KRISHN YADAV,Independent,15,13,17,13,5,11,16,10,20,21,17,13,16,13,27,24,22,19,23,7,9,21,15,18,14,9,15,21,25,31,12,17,9,1,2,Uttar Pradesh-Sahajanwa,Sahajanwa
13,SURJEET SINGH,Independent,39,27,28,20,26,41,30,27,104,36,27,37,29,37,23,16,15,19,26,75,425,137,72,51,30,58,39,34,17,25,24,12,6,3,1,Uttar Pradesh-Sahajanwa,Sahajanwa
14,NOTA,None of the Above,68,54,31,49,31,54,55,43,42,54,34,48,46,33,67,50,43,48,59,50,34,62,53,53,58,53,53,71,42,49,38,46,16,9,6,Uttar Pradesh-Sahajanwa,Sahajanwa
