O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,state_city,constituency_from_link
1,Ajab Singh,Bahujan Samaj Party,1431,2715,3600,2799,3179,1902,1368,2267,508,2560,1934,1680,2283,2735,3086,2309,2010,2514,1076,1765,1259,820,1985,2119,3218,2203,3065,2407,1557,Uttar Pradesh-Saharanpur,Saharanpur  
2,Ashu Malik,Samajwadi Party,5719,3627,3358,3511,2094,1027,1721,2201,6239,3641,4624,4122,5388,3906,3476,3951,2395,4669,6089,3761,4819,4865,5216,2727,4617,4378,2867,1176,532,Uttar Pradesh-Saharanpur,Saharanpur  
3,JAGPAL SINGH,Bharatiya Janata Party,1803,2234,2005,2251,1798,5098,5574,4368,869,2748,983,3226,1219,2093,2639,2268,3846,2687,1109,3974,2114,2176,1424,3771,2175,2650,2864,4907,1083,Uttar Pradesh-Saharanpur,Saharanpur  
4,SANDEEP KUMAR,Indian National Congress,43,21,18,15,11,67,72,76,27,41,16,40,21,11,74,198,160,29,10,27,27,50,23,22,24,33,17,33,6,Uttar Pradesh-Saharanpur,Saharanpur  
5,QURBAN,Aazad Samaj Party (Kanshi Ram),59,53,93,92,31,57,24,52,15,209,21,49,52,48,43,33,183,94,34,27,66,51,66,14,84,27,85,94,4,Uttar Pradesh-Saharanpur,Saharanpur  
6,Margoob,All India Majlis-E-Ittehadul Muslimeen,533,344,282,341,151,6,52,85,343,184,218,304,1015,321,536,300,28,284,404,620,340,440,403,26,168,279,155,13,4,Uttar Pradesh-Saharanpur,Saharanpur  
7,MEWA LAL,Bharatrashtra Democratic Party,4,5,4,5,2,3,4,4,1,6,2,0,2,3,3,1,3,4,3,1,1,1,1,1,4,4,4,2,0,Uttar Pradesh-Saharanpur,Saharanpur  
8,Yogesh Dahiya,Aam Aadmi Party,19,24,11,17,31,41,24,20,5,22,17,17,11,7,11,13,16,18,4,17,10,12,9,22,30,5,12,24,5,Uttar Pradesh-Saharanpur,Saharanpur  
9,RIYASAT,Aamjan Ekta Party,9,8,5,6,4,7,3,8,11,10,4,12,10,6,5,4,6,8,3,8,4,6,5,12,8,3,8,7,1,Uttar Pradesh-Saharanpur,Saharanpur  
10,VAHID ALI KHAN,Log Party,15,6,2,8,3,2,6,2,3,6,2,5,3,4,6,6,1,3,12,4,3,3,5,0,5,4,3,4,0,Uttar Pradesh-Saharanpur,Saharanpur  
11,PINKI KUMARI,Independent,1,2,1,5,2,4,5,2,5,5,1,1,3,3,4,4,3,3,1,5,0,4,3,3,1,3,3,3,4,Uttar Pradesh-Saharanpur,Saharanpur  
12,RAJITA,Independent,10,5,3,5,3,3,7,2,7,13,7,7,5,12,8,2,7,20,4,3,3,2,5,6,5,7,3,11,2,Uttar Pradesh-Saharanpur,Saharanpur  
13,LOKESH KUMAR,Independent,13,7,9,10,13,8,8,14,4,30,13,13,12,15,14,10,18,18,9,12,9,6,7,12,15,15,11,17,7,Uttar Pradesh-Saharanpur,Saharanpur  
14,SHABREJ,Independent,19,15,14,16,6,9,8,8,12,41,7,14,13,8,15,12,16,18,9,14,17,14,13,4,13,20,10,7,5,Uttar Pradesh-Saharanpur,Saharanpur  
15,NOTA,None of the Above,24,31,34,35,31,17,32,35,25,59,36,28,41,30,49,29,42,52,26,53,16,14,25,19,23,35,35,29,17,Uttar Pradesh-Saharanpur,Saharanpur  
