O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,state_city,constituency_from_link
1,ANKIT BHARTI,Samajwadi Party,2682,3550,2763,3606,3056,4002,3184,2358,2986,2750,3216,3639,4155,3131,2478,3515,4042,3545,4048,4021,2277,3440,4512,4173,3411,3783,4645,4308,3332,2926,3892,1097,Uttar Pradesh-Saidpur,Saidpur 
2,BINOD KUMAR,Bahujan Samaj Party,1413,1206,1462,996,1786,1718,902,1226,1607,1832,1931,1362,1472,1686,1674,1005,1362,1573,1247,1508,738,1030,1919,1477,1841,1161,1472,2112,1131,1852,1155,11,Uttar Pradesh-Saidpur,Saidpur 
3,SEEMA DEVI,Indian National Congress,63,62,46,49,62,48,51,72,45,53,35,35,50,78,43,49,58,50,46,64,181,84,42,18,46,36,46,36,32,61,40,7,Uttar Pradesh-Saidpur,Saidpur 
4,SUBHASH PASSI,Bharatiya Janata Party,2697,2217,1816,2225,2287,2098,3274,2800,2050,2590,2111,2188,2039,2737,2497,1763,2156,2684,1645,1808,4763,3175,1049,1080,2059,1711,2404,1745,3147,3090,2227,599,Uttar Pradesh-Saidpur,Saidpur 
5,DINESH,Bahujan Mukti Party,31,20,19,16,29,14,37,26,22,22,21,14,23,24,26,14,23,24,25,16,32,24,15,7,17,18,20,15,31,18,18,0,Uttar Pradesh-Saidpur,Saidpur 
6,RAKESH,Aam Aadmi Party,19,32,11,20,13,30,34,21,17,25,15,23,18,24,18,12,27,17,68,17,15,10,11,10,12,9,28,19,25,21,13,1,Uttar Pradesh-Saidpur,Saidpur 
7,RAMLOCHAN,Jan Adhikar Party,10,6,39,2,81,30,21,14,22,12,68,108,46,58,31,6,27,151,46,76,11,25,102,119,201,315,175,109,35,35,91,11,Uttar Pradesh-Saidpur,Saidpur 
8,DURGESH,Independent,13,16,8,7,13,8,14,9,13,11,9,7,12,12,9,19,9,8,11,7,10,10,7,5,10,10,9,11,9,12,14,2,Uttar Pradesh-Saidpur,Saidpur 
9,NIRMALA,Independent,32,25,27,14,18,21,15,15,31,17,14,20,18,21,37,24,21,10,20,13,20,6,13,12,23,11,15,22,16,13,14,2,Uttar Pradesh-Saidpur,Saidpur 
10,RAMLAL,Independent,49,42,33,20,28,34,44,30,32,45,25,30,13,37,21,21,26,23,29,20,23,12,16,22,21,30,21,17,37,22,18,3,Uttar Pradesh-Saidpur,Saidpur 
11,NOTA,None of the Above,78,75,57,40,65,74,71,64,71,97,71,39,53,71,52,75,62,65,48,52,47,53,36,31,46,64,61,59,79,63,48,17,Uttar Pradesh-Saidpur,Saidpur 
