O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,state_city,constituency_from_link
1,ARJUN KUMAR,Indian National Congress,594,595,258,328,279,301,318,278,266,282,526,312,390,296,149,752,582,635,674,671,227,201,226,442,471,373,493,444,52,15,Uttar Pradesh-Salon,Salon 
2,ASHOK KUMAR,Bharatiya Janata Party,3089,3139,2156,2977,3065,2897,3050,3131,2978,2874,3700,2836,2607,3072,2808,2721,2782,3051,3767,3113,3106,2837,3709,3839,3553,3392,3619,3376,156,227,Uttar Pradesh-Salon,Salon 
3,JAGDISH PRASAD,Samajwadi Party,3989,3879,2584,4223,2948,3639,3512,2576,2674,3492,3037,3340,2764,2674,3689,3005,2539,2774,2507,2931,4012,3532,2649,2762,1866,2018,2460,3062,158,256,Uttar Pradesh-Salon,Salon 
4,SVATI SINGH,Bahujan Samaj Party,309,314,146,267,317,335,383,132,266,115,293,226,234,160,198,590,579,563,398,554,258,467,363,242,346,239,500,398,133,6,Uttar Pradesh-Salon,Salon 
5,AMIT KUMAR,Janata Dal (United),22,26,7,19,17,14,18,15,17,15,15,28,18,23,12,20,23,16,17,24,17,15,18,16,19,20,30,24,3,0,Uttar Pradesh-Salon,Salon 
6,RADHEYSHYAM,Aam Aadmi Party,15,6,8,19,13,12,29,9,24,13,21,18,17,25,16,18,28,24,21,17,12,24,16,24,13,127,20,29,3,1,Uttar Pradesh-Salon,Salon 
7,SUDARSHAN RAM,Bhartiya Panchsheel Party,20,17,14,16,30,23,21,19,22,19,24,32,20,29,17,16,21,21,23,21,24,22,36,17,25,29,30,20,2,2,Uttar Pradesh-Salon,Salon 
8,KAMALESH,Independent,45,37,30,40,38,26,30,32,33,21,37,45,28,55,40,23,32,26,25,37,11,25,26,53,38,31,33,34,3,4,Uttar Pradesh-Salon,Salon 
9,SHAKTI SHEKHAR,Independent,55,52,51,137,107,55,146,59,60,44,56,41,37,41,38,36,30,30,45,34,21,22,40,55,44,47,33,44,2,6,Uttar Pradesh-Salon,Salon 
10,NOTA,None of the Above,88,102,41,80,78,97,76,52,75,68,93,103,64,78,62,87,68,57,87,68,40,50,74,79,62,53,69,72,13,6,Uttar Pradesh-Salon,Salon 
