O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,state_city,constituency_from_link
1,IQBAL MEHMOOD,Samajwadi Party,2806,4697,1838,2500,3461,3606,4909,3046,4523,2954,928,3665,2547,3436,3310,4332,4930,2911,4897,1540,3723,4788,3914,6214,4952,3664,3492,3159,2399,3051,461,Uttar Pradesh-Sambhal,Sambhal
2,NIDA AHMAD,Indian National Congress,45,142,52,32,31,49,63,43,38,64,56,76,41,23,52,42,129,63,66,73,330,311,148,48,38,82,38,21,23,24,8,Uttar Pradesh-Sambhal,Sambhal
3,RAJESH SINGHAL,Bharatiya Janata Party,2989,2007,3378,2744,1519,2440,501,3424,1723,2825,3999,2447,2614,2902,3746,2072,527,3455,292,5382,1730,138,1134,74,1563,2702,2371,1272,380,1144,1671,Uttar Pradesh-Sambhal,Sambhal
4,SHAKIL AHAMAD,Bahujan Samaj Party,1892,1016,2067,2836,2019,965,802,856,1439,1168,1712,2302,2230,1036,702,1119,2207,1021,656,159,867,868,961,881,698,619,2168,2932,3135,2567,488,Uttar Pradesh-Sambhal,Sambhal
5,MOHD. KASHIF KHAN,Aam Aadmi Party,12,9,12,28,11,8,7,13,14,16,18,19,25,14,15,24,24,9,34,6,5,5,4,2,49,5,14,21,14,12,4,Uttar Pradesh-Sambhal,Sambhal
6,ZAHID,Shiv Sena,6,10,8,4,5,8,4,10,12,14,11,5,14,16,11,7,7,8,6,5,8,2,9,9,4,4,7,7,13,21,2,Uttar Pradesh-Sambhal,Sambhal
7,MOHAMMAD MUSHIR KHAN TARIN,All India Majlis-E-Ittehadul Muslimeen,131,326,67,179,541,156,165,143,980,300,16,415,494,719,730,555,1179,630,1144,338,922,1515,1339,984,1276,708,708,1245,1843,1706,10,Uttar Pradesh-Sambhal,Sambhal
8,AJAY KUMAR,Independent,8,18,14,4,23,9,11,13,30,28,10,20,31,43,21,12,24,20,17,7,13,14,29,14,25,16,17,17,38,30,5,Uttar Pradesh-Sambhal,Sambhal
9,IQBAL,Independent,31,24,26,30,34,28,20,20,31,24,33,37,42,34,33,19,35,19,16,5,13,11,17,18,26,17,27,21,23,19,9,Uttar Pradesh-Sambhal,Sambhal
10,ANSHUL,Independent,22,23,22,39,28,23,20,32,27,30,30,30,27,38,53,32,23,23,13,12,13,11,22,13,13,19,29,12,7,11,11,Uttar Pradesh-Sambhal,Sambhal
11,SABOOR HUSAIN,Independent,11,10,19,9,14,10,8,13,12,9,13,22,12,20,7,8,8,7,7,2,3,2,7,4,6,6,18,9,3,4,4,Uttar Pradesh-Sambhal,Sambhal
12,NOTA,None of the Above,39,51,45,45,46,37,35,71,71,37,30,57,44,53,40,37,43,49,33,43,34,15,22,21,29,43,39,30,18,33,11,Uttar Pradesh-Sambhal,Sambhal
