O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,state_city,constituency_from_link
1,Akanksha Verma,Indian National Congress,63,52,46,55,73,57,65,74,103,92,102,51,401,181,91,146,87,266,82,56,106,67,132,93,79,195,88,106,38,Uttar Pradesh-Sandi,Sandi 
2,Usha Verma,Samajwadi Party,1155,2084,2897,2771,1818,2529,2085,2388,2254,2535,3568,2430,1888,3103,2841,2890,2569,2171,2449,2464,3077,2294,2360,3145,2328,2323,3263,3515,370,Uttar Pradesh-Sandi,Sandi 
3,Kamal Verma s/o Sundar Lal Verma,Bahujan Samaj Party,1015,1527,391,286,890,1312,785,1205,1554,1811,954,1429,1454,1281,1189,943,1376,1047,567,726,852,923,1182,1046,725,938,1065,1696,257,Uttar Pradesh-Sandi,Sandi 
4,Prabhash Kumar,Bharatiya Janata Party,3671,2830,3272,3393,4211,3332,2971,2226,2978,3121,2751,3334,2954,2241,3004,2121,2874,2572,2720,2893,3449,2578,2573,2779,3173,2750,2114,1909,521,Uttar Pradesh-Sandi,Sandi 
5,Pradeep Kumar,Bhartiya Krishak Dal,43,58,46,30,68,52,56,45,46,39,49,54,43,41,69,37,48,39,52,47,87,53,48,43,52,61,50,45,14,Uttar Pradesh-Sandi,Sandi 
6,Ranjeet Singh Khalsa,Bahujan Party,11,8,6,6,4,6,13,14,14,20,19,27,9,12,11,12,6,18,12,16,23,15,23,11,20,21,17,15,2,Uttar Pradesh-Sandi,Sandi 
7,Swarn Kant,Aam Aadmi Party,6,12,10,6,12,10,6,5,11,15,11,14,14,10,17,15,15,18,19,46,12,13,18,12,12,13,17,15,1,Uttar Pradesh-Sandi,Sandi 
8,Anup Kumar,Independent,11,4,4,6,11,8,6,8,16,13,15,15,13,9,11,6,9,10,11,15,18,10,13,8,13,14,17,9,1,Uttar Pradesh-Sandi,Sandi 
9,Arvind Kumar,Independent,16,17,20,18,20,21,10,16,28,28,19,21,17,22,28,13,22,23,19,26,25,20,34,30,35,21,30,30,2,Uttar Pradesh-Sandi,Sandi 
10,Kamal Verma s/o Niranjan Lal,Independent,48,38,40,42,52,47,43,45,44,58,64,63,48,65,81,51,64,61,49,44,59,45,49,77,70,88,55,63,4,Uttar Pradesh-Sandi,Sandi 
11,Ram Sagar,Independent,19,22,21,15,26,28,19,16,29,47,37,29,22,32,41,26,19,32,26,32,32,30,20,28,24,24,35,48,4,Uttar Pradesh-Sandi,Sandi 
12,Shive Kumar,Independent,16,24,27,12,28,23,21,28,31,38,33,38,34,41,43,37,29,39,39,32,35,23,20,40,41,55,43,44,2,Uttar Pradesh-Sandi,Sandi 
13,NOTA,None of the Above,46,42,46,38,52,66,48,43,56,73,60,62,43,52,67,49,66,61,81,54,73,36,55,89,63,106,69,68,22,Uttar Pradesh-Sandi,Sandi 
