O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,state_city,constituency_from_link
1,Abdul Mannan,Bahujan Samaj Party,1833,1864,2784,1743,2766,2926,2370,1732,2070,2555,1725,2238,2386,2112,2287,2555,2719,2045,2146,2020,1727,1891,2379,2203,2104,2154,1536,1718,1529,1136,1001,158,Uttar Pradesh-Sandila,Sandila
2,Alka Singh,Bharatiya Janata Party,3191,2704,3555,3847,3778,3637,3176,3939,3616,2002,3290,3204,1990,3246,4128,4056,3686,2268,3714,3049,4003,3469,2399,2904,3364,3657,3271,3111,3501,3243,2379,204,Uttar Pradesh-Sandila,Sandila
3,Mo. Haneef,Indian National Congress,101,89,128,120,137,181,106,163,248,63,60,41,34,104,122,161,225,68,117,112,129,100,69,95,88,109,114,73,135,85,81,4,Uttar Pradesh-Sandila,Sandila
4,Abhinay Gupta,Bhartiya Shakti Chetna Party,107,90,74,105,94,113,120,127,165,232,122,96,187,164,90,135,110,102,102,66,61,71,103,128,142,64,129,128,116,167,152,3,Uttar Pradesh-Sandila,Sandila
5,Munnalal Shukla,Socialist Party (India),14,16,19,15,15,11,13,15,16,12,9,6,5,15,16,21,20,18,12,14,12,16,10,26,27,18,21,11,19,12,19,0,Uttar Pradesh-Sandila,Sandila
6,Raghuveer,Aam Aadmi Party,25,8,16,23,64,24,13,16,17,18,11,6,7,21,11,26,19,8,8,10,17,9,20,14,17,10,14,12,12,13,9,0,Uttar Pradesh-Sandila,Sandila
7,Mo. Rafik,All India Majlis-E-Ittehadul Muslimeen,28,19,29,20,37,32,50,45,41,231,55,39,156,158,33,44,84,19,21,45,18,35,16,23,27,15,23,20,35,22,22,10,Uttar Pradesh-Sandila,Sandila
8,Sunil Arkvanshi,Suheldev Bharatiya Samaj Party,409,507,410,508,625,748,813,702,698,1420,852,629,1609,1328,418,886,658,698,462,547,322,662,671,1044,1069,233,1143,1137,834,1236,1096,12,Uttar Pradesh-Sandila,Sandila
9,Naresh Singh,Independent,23,25,19,20,19,25,18,20,20,17,9,7,9,14,19,33,29,13,27,17,24,22,26,36,27,25,23,22,8,16,17,2,Uttar Pradesh-Sandila,Sandila
10,Lalit Kumar,Independent,59,47,49,61,59,58,60,39,52,32,20,22,15,29,65,75,56,32,63,41,52,44,39,60,42,44,38,34,36,25,33,2,Uttar Pradesh-Sandila,Sandila
11,NOTA,None of the Above,76,58,87,66,101,84,60,74,83,41,31,30,25,43,76,72,71,58,73,58,75,40,39,72,62,61,62,45,42,46,33,8,Uttar Pradesh-Sandila,Sandila
