O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,state_city,constituency_from_link
1,Atul Pradhan,Samajwadi Party,1212,2015,4610,5110,5232,4511,4423,4912,2314,3682,3029,3878,3547,3439,3375,2505,3360,6071,5030,6365,4402,3346,3808,4541,4665,4892,4397,4566,4810,Uttar Pradesh-Sardhana,Sardhana
2,Syed Rehanuddin,Indian National Congress,16,24,26,34,12,38,44,29,25,18,63,23,27,33,39,27,176,109,51,79,68,26,26,63,101,563,170,151,68,Uttar Pradesh-Sardhana,Sardhana
3,Sangeet Singh Som,Bharatiya Janata Party,8181,6613,3636,2753,2119,2476,1958,2833,4350,4989,4520,3460,2912,2971,3829,3116,3941,2732,3005,2627,3157,4267,2598,2772,2010,2897,3186,2497,3482,Uttar Pradesh-Sardhana,Sardhana
4,Sanjeev Dhama,Bahujan Samaj Party,63,356,186,213,64,136,232,815,219,158,277,315,1569,1760,918,412,962,477,777,131,670,1160,2334,1146,548,127,605,825,620,Uttar Pradesh-Sardhana,Sardhana
5,Zeeshan Alam,All India Majlis-E-Ittehadul Muslimeen,21,4,73,196,97,58,117,37,8,90,17,5,37,100,16,8,42,19,27,249,27,14,26,26,12,63,37,17,16,Uttar Pradesh-Sardhana,Sardhana
6,Devendra,Jan Adhikar Party,3,3,9,0,2,2,2,6,6,7,8,4,6,5,8,5,6,10,8,4,8,11,8,8,2,4,1,8,9,Uttar Pradesh-Sardhana,Sardhana
7,Ramesh Chand,Pichhra Samaj Party,10,6,2,1,2,5,4,8,8,0,7,4,10,4,20,3,4,24,13,14,13,6,21,8,19,10,2,12,14,Uttar Pradesh-Sardhana,Sardhana
8,Sanjay,Aam Aadmi Party,4,5,5,3,3,3,7,15,7,4,3,3,10,14,11,49,6,8,5,6,10,10,7,8,10,5,1,3,4,Uttar Pradesh-Sardhana,Sardhana
9,Daya Chand,Independent,4,7,5,2,2,1,8,8,6,4,11,4,10,12,6,3,16,13,10,4,7,6,18,7,1,5,7,6,9,Uttar Pradesh-Sardhana,Sardhana
10,Devendra,Independent,30,28,13,1,5,5,22,13,28,13,62,9,16,21,16,12,22,25,19,21,22,15,23,16,18,19,20,16,21,Uttar Pradesh-Sardhana,Sardhana
11,Vinod Soam,Independent,9,7,6,5,5,3,7,10,12,3,12,3,7,12,6,8,8,13,10,3,9,13,12,12,7,5,7,6,10,Uttar Pradesh-Sardhana,Sardhana
12,NOTA,None of the Above,36,34,14,28,16,23,40,28,29,22,26,30,25,33,27,28,36,49,19,29,28,28,42,51,29,38,26,25,41,Uttar Pradesh-Sardhana,Sardhana
