O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,state_city,constituency_from_link
1,THAKUR PRASAD YADAV,Bahujan Samaj Party,894,976,830,1114,1176,942,907,1356,1428,977,1142,1363,1491,1154,1037,1552,1475,1135,850,554,1165,1354,1541,2025,1159,1350,1185,998,1183,1706,1135,594,244,Uttar Pradesh-Sareni,Sareni
2,DEVENDRA PRATAP SINGH,Samajwadi Party,1664,1813,2361,1536,1086,777,1220,1348,1651,1674,1671,2237,1895,1685,2435,2788,2783,2119,2513,2461,1722,2525,3250,2359,2460,1720,1716,2137,2350,1856,2968,2170,575,Uttar Pradesh-Sareni,Sareni
3,DHIRENDRA BAHADUR SINGH,Bharatiya Janata Party,2003,2003,1245,2154,2978,1657,1863,1780,1678,2870,3145,1636,1680,2235,1539,1807,1978,1969,2637,2750,2486,1894,1289,1431,1454,1189,1674,1666,1366,1607,1905,1731,724,Uttar Pradesh-Sareni,Sareni
4,SUDHA DWIVEDI,Indian National Congress,1370,1188,798,1330,1112,1672,1033,1296,1195,800,1254,895,1218,1201,1187,982,1378,1574,1267,1242,1290,1140,1061,2010,1825,1624,1235,1754,1463,1376,2232,1263,308,Uttar Pradesh-Sareni,Sareni
5,DEVENDRA PAL,Aam Aadmi Party,25,28,13,21,19,34,23,27,30,20,25,17,27,15,24,26,29,42,23,17,40,39,40,62,81,51,37,67,29,57,48,38,4,Uttar Pradesh-Sareni,Sareni
6,DHARMENDRA KUMAR,"Rashtrawadi Party of India,",55,11,5,6,5,6,11,2,16,11,18,8,9,14,16,7,17,7,5,6,5,6,9,10,14,4,7,11,13,8,16,5,2,Uttar Pradesh-Sareni,Sareni
7,MANOJ KUMAR SHARMA,Vikassheel Janta Party,16,4,1,7,11,3,13,10,16,9,10,3,24,6,21,9,16,15,8,16,38,10,4,9,12,11,26,9,6,10,8,4,7,Uttar Pradesh-Sareni,Sareni
8,MANORAMA,Akhil Bhartiya Apna Dal,16,20,13,17,27,12,18,8,19,21,27,15,23,8,25,14,18,7,11,5,16,17,13,24,12,16,16,24,20,16,21,13,5,Uttar Pradesh-Sareni,Sareni
9,RAM MANOHAR,Voters Party International,11,20,5,11,12,9,7,7,10,19,10,14,12,8,13,31,17,1,5,12,14,10,10,23,8,14,11,23,18,10,9,9,3,Uttar Pradesh-Sareni,Sareni
10,SOHAN LAL,India Praja Bandhu Party,12,15,8,19,14,16,11,5,12,18,22,5,6,6,14,12,17,15,5,12,17,4,5,12,11,12,11,17,10,10,12,2,6,Uttar Pradesh-Sareni,Sareni
11,HORI LAL,Pragatisheel Samaj Party,20,20,15,31,22,23,19,28,14,25,30,22,21,22,33,32,28,15,8,5,24,28,21,27,20,23,31,40,31,30,29,18,7,Uttar Pradesh-Sareni,Sareni
12,ANIL KUMAR,Independent,22,22,7,17,18,19,18,10,9,14,19,19,13,16,25,16,21,11,17,9,21,23,24,31,17,18,11,22,23,31,24,14,3,Uttar Pradesh-Sareni,Sareni
13,ABHAY KUMAR,Independent,20,19,21,19,31,11,25,32,19,32,32,21,17,18,30,22,26,19,21,19,16,20,20,26,17,18,12,24,20,35,23,18,9,Uttar Pradesh-Sareni,Sareni
14,SHIVPRATAP SINGH,Independent,27,19,19,14,16,11,13,29,16,26,34,26,29,10,27,45,28,15,18,15,19,28,31,26,25,21,21,42,21,16,30,23,12,Uttar Pradesh-Sareni,Sareni
15,NOTA,None of the Above,45,43,22,35,41,24,21,50,43,53,37,48,38,36,41,65,60,48,26,21,40,53,55,66,37,46,37,52,50,55,52,40,12,Uttar Pradesh-Sareni,Sareni
