O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,state_city,constituency_from_link
1,Arvind Kumar Tripathi,Bahujan Samaj Party,879,974,907,1116,762,870,550,656,909,865,635,1217,431,1069,944,1041,688,713,661,1043,911,439,744,856,644,1112,1331,771,268,Uttar Pradesh-Sevapuri,Sevapuri
2,Anju Anand Singh,Indian National Congress,37,66,81,115,100,65,81,184,49,68,92,56,62,81,156,69,71,53,81,79,241,373,98,140,109,146,66,81,60,Uttar Pradesh-Sevapuri,Sevapuri
3,Neel Ratan Singh,Bharatiya Janata Party,3678,3742,4165,3590,3486,2376,3826,4570,2900,3311,3641,3034,4159,3281,3648,3223,3675,3499,3845,3496,4025,3749,4020,4121,4083,3976,3169,3981,2644,Uttar Pradesh-Sevapuri,Sevapuri
4,Surendra Singh Patel,Samajwadi Party,2840,2219,3365,2805,3344,2468,2629,2364,2365,2820,2664,3001,2421,2403,2239,3247,3938,2910,2666,2977,2605,2544,4154,3794,3076,2418,2641,3396,1921,Uttar Pradesh-Sevapuri,Sevapuri
5,Kailash Patel,Aam Aadmi Party,37,22,60,28,55,19,30,42,24,30,49,35,39,63,57,22,35,20,35,40,30,44,72,61,60,32,33,42,25,Uttar Pradesh-Sevapuri,Sevapuri
6,Guru Prasad Singh,Lok Bandhu Party,14,12,21,21,23,6,12,17,18,10,8,9,10,7,10,15,20,11,16,15,25,16,17,25,25,9,10,26,9,Uttar Pradesh-Sevapuri,Sevapuri
7,Jai Prakash,Insaafwadi Party,15,6,18,14,23,14,12,13,16,9,11,9,11,11,11,10,19,16,11,13,10,13,16,22,13,14,10,16,9,Uttar Pradesh-Sevapuri,Sevapuri
8,Surendra,Jan Adhikar Party,25,16,30,24,21,55,15,20,19,31,8,18,10,19,15,14,45,14,18,28,23,25,15,21,23,15,18,28,8,Uttar Pradesh-Sevapuri,Sevapuri
9,Santosh,Moulik Adhikar Party,40,23,29,29,49,25,38,47,29,32,29,19,32,23,22,37,34,28,27,31,34,30,43,47,56,44,31,36,42,Uttar Pradesh-Sevapuri,Sevapuri
10,Manoj Kumar Chaubey,Independent,16,55,18,43,66,18,26,36,43,25,37,20,21,24,15,23,33,23,60,54,32,23,27,30,27,43,18,39,13,Uttar Pradesh-Sevapuri,Sevapuri
11,NOTA,None of the Above,58,60,60,77,62,41,34,54,53,47,47,50,47,56,50,40,74,45,50,63,58,61,70,72,55,46,48,57,49,Uttar Pradesh-Sevapuri,Sevapuri
