O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,state_city,constituency_from_link
1,Indar Dev,Bahujan Samaj Party,1763,1422,1919,1592,1894,1512,1494,1448,1689,1867,2566,1612,2221,1495,1959,2262,836,444,1459,599,1133,1294,1931,1264,1552,1194,2123,1137,1180,1398,1736,802,Uttar Pradesh-Shahganj,Shahganj
2,Parvez Alam,Indian National Congress,88,66,28,27,48,26,52,32,31,44,51,33,39,28,35,57,76,66,67,163,53,46,33,24,24,39,43,42,39,43,50,30,Uttar Pradesh-Shahganj,Shahganj
3,Shailendra Yadav Lalai,Samajwadi Party,2449,2343,2608,2205,1768,1294,1572,2721,2391,3016,1792,2648,3063,1975,2562,2703,4311,3756,2646,2618,2343,2708,3297,2561,3137,2852,3031,2281,3048,3116,3727,3191,Uttar Pradesh-Shahganj,Shahganj
4,Kapil Dev,Shiv Sena,38,23,28,33,25,17,26,23,28,35,19,38,22,20,27,27,35,25,12,34,28,30,22,31,17,22,23,32,27,21,38,29,Uttar Pradesh-Shahganj,Shahganj
5,Jitendra Kumar,Bharatrashtra Democratic Party,14,16,6,17,15,9,9,9,21,5,6,15,13,10,4,20,11,7,15,18,22,18,10,10,11,10,7,9,11,14,13,8,Uttar Pradesh-Shahganj,Shahganj
6,Nayab Ahmad Khan,All India Majlis-E-Ittehadul Muslimeen,118,173,110,375,167,65,86,386,412,139,131,31,48,134,194,195,319,333,499,1035,629,451,138,511,198,37,113,353,82,79,381,205,Uttar Pradesh-Shahganj,Shahganj
7,Ramesh,Nirbal Indian Shoshit Hamara Aam Dal,2405,2334,2783,3518,2984,3273,3465,2729,3799,2307,3528,2914,2342,2606,2555,3159,3179,4000,3314,2194,2572,2155,2696,2455,2414,2177,2178,2501,2194,2623,1594,2033,Uttar Pradesh-Shahganj,Shahganj
8,Ramanuj,Vikassheel Insaan Party,58,83,102,169,68,115,72,136,149,107,85,48,62,56,67,67,83,26,112,89,77,74,67,44,53,49,37,111,38,145,46,51,Uttar Pradesh-Shahganj,Shahganj
9,Ram Pratap,Bharatiya Nav Kranti Party,18,22,19,16,17,13,13,20,16,11,17,16,12,15,11,11,23,7,19,17,25,17,12,10,53,17,14,15,6,5,16,8,Uttar Pradesh-Shahganj,Shahganj
10,Ram Sumer,Moulik Adhikar Party,34,34,13,34,20,23,26,26,19,26,38,20,28,18,22,28,22,14,32,32,29,26,18,21,23,21,30,29,9,21,20,19,Uttar Pradesh-Shahganj,Shahganj
11,Vinod Kumar,Aam Aadmi Party,26,32,21,29,12,31,32,19,25,20,13,24,46,26,55,24,26,11,18,13,7,21,13,21,55,29,19,22,10,12,56,12,Uttar Pradesh-Shahganj,Shahganj
12,Suresh Rajbhar,Aapki Apni Party (Peoples),33,19,23,11,15,19,13,19,10,22,21,28,17,16,15,18,37,12,13,8,24,22,27,16,22,21,21,16,18,16,33,21,Uttar Pradesh-Shahganj,Shahganj
13,Vinod,Independent,18,17,16,20,13,11,15,14,15,6,17,40,13,9,10,13,15,9,15,14,19,20,9,9,12,9,6,7,4,10,9,13,Uttar Pradesh-Shahganj,Shahganj
14,NOTA,None of the Above,76,45,77,58,73,73,63,66,53,56,76,66,73,31,51,60,51,25,42,27,43,34,53,32,54,34,44,40,31,47,55,34,Uttar Pradesh-Shahganj,Shahganj
