O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,state_city,constituency_from_link
1,Tejendra Singh,Bharatiya Janata Party,3133,5244,3617,5326,7581,6956,6858,2968,2729,3108,3900,3546,4509,3252,5589,3957,3257,2887,3482,3061,2447,2131,1949,2002,1754,Uttar Pradesh-Shamli,Shamli
2,Persann Kumar,Rashtriya Lok Dal,5729,4099,4980,3885,1663,1530,1551,4404,3424,3962,3786,4596,4502,3779,1217,3753,3924,4030,4013,5774,6749,5667,7662,6280,1545,Uttar Pradesh-Shamli,Shamli
3,Bijendra,Bahujan Samaj Party,601,123,54,161,273,180,236,509,514,596,469,344,324,360,379,441,351,356,512,585,179,234,56,112,201,Uttar Pradesh-Shamli,Shamli
4,Mohmmad Ayub Jang,Indian National Congress,36,34,28,38,51,32,32,26,25,21,20,16,16,9,31,14,13,15,21,51,153,41,24,18,6,Uttar Pradesh-Shamli,Shamli
5,Bijendra,Aam Aadmi Party,10,10,15,8,12,17,22,10,25,8,6,7,4,10,13,11,9,10,5,2,13,15,9,5,2,Uttar Pradesh-Shamli,Shamli
6,Sunita Devi,Sarvjan Lok Shakti Party,6,1,2,1,2,0,2,8,32,19,143,30,5,35,4,37,27,4,15,32,2,13,8,5,3,Uttar Pradesh-Shamli,Shamli
7,Ajay,Independent,5,5,0,2,3,1,0,8,4,2,2,5,2,3,2,6,5,4,4,4,11,7,6,4,1,Uttar Pradesh-Shamli,Shamli
8,Asim,Independent,42,34,28,19,13,8,22,39,11,11,14,20,17,16,21,32,15,21,22,38,50,39,60,35,14,Uttar Pradesh-Shamli,Shamli
9,Dhurendar Singh,Independent,10,9,4,2,3,1,6,15,12,13,12,13,6,8,13,12,1,11,16,8,13,13,13,4,3,Uttar Pradesh-Shamli,Shamli
10,Lalit Kumar,Independent,21,13,6,12,18,5,13,26,15,13,13,32,27,9,21,41,13,32,26,27,25,37,23,21,9,Uttar Pradesh-Shamli,Shamli
11,NOTA,None of the Above,26,34,14,34,33,22,36,46,18,26,35,38,36,16,46,35,39,34,39,28,40,44,40,23,15,Uttar Pradesh-Shamli,Shamli
