O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,state_city,constituency_from_link
1,DHARMENDRA KUMAR SINGH SHAKYA,Bharatiya Janata Party,4553,1794,4423,3636,4017,2421,3264,2923,3808,3966,2872,3135,1915,2045,3923,3123,3056,2471,2510,2136,2035,4419,2727,4633,3254,1587,680,1141,3488,2687,1979,3365,3657,1616,Uttar Pradesh-Shekhupur,Shekhupur
2,MAMTA DEVI,Indian National Congress,57,44,57,49,52,42,55,54,42,46,34,37,52,26,37,56,33,37,46,32,32,77,44,64,49,29,16,35,42,32,21,55,50,14,Uttar Pradesh-Shekhupur,Shekhupur
3,MUSLIM KHAN,Bahujan Samaj Party,686,933,1288,963,616,960,658,1956,882,1346,1010,918,987,825,1312,899,524,469,1056,1239,832,1175,1577,944,786,1286,1310,2183,1152,722,1244,1178,629,256,Uttar Pradesh-Shekhupur,Shekhupur
4,Himanshu Yadav,Samajwadi Party,1654,3277,1892,1957,1869,3314,4026,2209,2838,1934,3239,2482,4095,3774,2639,3686,3763,4168,2928,3627,4012,2536,2390,2757,2965,3849,5629,5088,2484,4045,3821,2550,2434,989,Uttar Pradesh-Shekhupur,Shekhupur
5,AVNESH KUMAR,Aazad Samaj Party (Kanshi Ram),18,28,27,21,26,25,26,13,74,22,14,28,24,13,16,29,21,29,22,27,36,19,24,27,32,19,26,18,24,42,23,26,28,10,Uttar Pradesh-Shekhupur,Shekhupur
6,KUNWAR PAL,Bharatiya Subhash Sena,6,8,12,12,12,7,1,3,6,8,4,6,7,4,5,12,7,8,8,9,6,10,8,17,19,6,1,8,6,7,7,8,5,2,Uttar Pradesh-Shekhupur,Shekhupur
7,MOHER SINGH,Jan Seva Sahayak Party,4,9,5,4,10,4,1,3,9,6,7,5,10,1,4,7,7,5,9,4,6,21,7,21,10,6,2,4,6,8,6,6,8,5,Uttar Pradesh-Shekhupur,Shekhupur
8,RAVINDER KUMAR SINGH,Bahujan Mukti Party,5,8,9,6,12,7,15,7,7,39,7,11,4,8,12,9,8,7,6,6,5,8,15,4,13,4,3,11,11,10,8,9,7,5,Uttar Pradesh-Shekhupur,Shekhupur
9,RIYASAT KHAN,Aam Aadmi Party,9,20,16,50,53,25,27,13,13,12,19,15,15,9,14,23,9,34,14,14,8,23,17,16,24,10,5,10,17,14,12,14,17,9,Uttar Pradesh-Shekhupur,Shekhupur
10,SUNIL KUMAR,Vikassheel Insaan Party,7,14,25,58,66,11,10,19,17,19,13,10,9,9,8,10,7,5,13,12,5,24,55,20,23,9,11,22,17,7,20,11,11,4,Uttar Pradesh-Shekhupur,Shekhupur
11,SHAHID ALI,Independent,14,13,20,21,13,14,7,12,12,14,8,18,10,6,8,16,10,6,16,12,13,13,13,9,26,5,10,8,17,15,8,10,15,3,Uttar Pradesh-Shekhupur,Shekhupur
12,NOTA,None of the Above,59,39,82,80,62,60,52,35,52,44,50,58,27,59,65,55,41,62,30,54,41,72,55,88,74,39,14,28,63,37,41,66,61,26,Uttar Pradesh-Shekhupur,Shekhupur
