O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,state_city,constituency_from_link
1,Anil Kumar,Bharatiya Janata Party,4151,4629,4000,4770,4398,3533,3798,2957,2788,4001,4036,3352,4131,3973,5891,3576,3399,3889,4831,4440,3701,3608,3027,4891,3934,3664,4317,3620,1383,280,Uttar Pradesh-Shikarpur,Shikarpur
2,Kiranpal Singh,Rashtriya Lok Dal,1016,1909,2181,1712,2135,1957,1480,2068,3050,3005,3565,3170,2043,1965,2099,1846,1756,1251,878,1376,1654,2996,3137,1319,1152,1833,1635,2928,548,93,Uttar Pradesh-Shikarpur,Shikarpur
3,ZiaurRahman,Indian National Congress,74,62,44,49,86,37,37,30,29,57,40,47,66,25,55,21,29,30,44,40,32,51,46,49,37,257,43,88,16,2,Uttar Pradesh-Shikarpur,Shikarpur
4,Mu Rafik,Bahujan Samaj Party,1554,1815,1305,1762,920,1187,2543,1409,1021,1020,612,849,1537,1143,241,1332,1785,1016,801,1937,1219,1140,1655,960,2016,1395,1046,1677,267,29,Uttar Pradesh-Shikarpur,Shikarpur
5,Ashughosh Kumar Nirmal,Aam Aadmi Party,23,20,26,12,14,23,27,13,17,17,4,6,42,44,5,15,16,17,14,20,23,35,30,90,53,28,19,14,6,0,Uttar Pradesh-Shikarpur,Shikarpur
6,Ranavir,Bahujan Mukti Party,2,11,9,2,12,7,13,7,5,12,2,5,11,6,8,5,7,5,10,3,5,11,10,6,5,3,9,16,4,0,Uttar Pradesh-Shikarpur,Shikarpur
7,Sohan Singh,Aazad Samaj Party (Kanshi Ram),18,34,16,24,14,12,31,22,15,22,13,12,21,16,15,27,15,5,10,20,16,15,18,8,14,51,12,26,7,0,Uttar Pradesh-Shikarpur,Shikarpur
8,Arasad Ali,Independent,4,13,6,9,6,7,4,12,4,9,7,5,17,6,4,11,7,5,9,13,7,2,11,4,5,14,10,10,6,0,Uttar Pradesh-Shikarpur,Shikarpur
9,Nishant Kumar Sharma,Independent,14,25,21,17,17,14,13,28,24,31,26,19,27,11,35,19,26,20,19,15,11,16,21,22,13,30,29,38,17,1,Uttar Pradesh-Shikarpur,Shikarpur
10,NOTA,None of the Above,45,74,41,45,40,35,44,52,40,58,31,32,61,48,68,58,32,46,68,82,40,52,30,61,65,74,47,60,16,3,Uttar Pradesh-Shikarpur,Shikarpur
