O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,state_city,constituency_from_link
1,Neetu Mishra,Bahujan Samaj Party,410,454,626,907,601,1342,630,841,738,843,1684,1421,1302,1303,1041,1635,1324,1705,2095,1599,1658,1636,1328,1446,1566,745,1477,1283,1317,1518,1411,1356,805,659,150,Uttar Pradesh-Shrawasti,Shrawasti
2,Muhammad Ramjan,Indian National Congress,134,139,136,140,132,122,134,201,195,92,325,138,144,87,140,97,103,91,88,107,87,120,151,135,110,209,95,180,94,95,80,131,161,201,46,Uttar Pradesh-Shrawasti,Shrawasti
3,Mohhamad Aslam Rainee,Samajwadi Party,4185,4445,4572,3140,4171,2434,3486,3665,2806,3227,2447,2559,1873,2294,2751,2301,2332,2241,1823,2402,2463,3591,2668,2962,2599,2583,1878,1727,2658,2646,2054,2606,2870,3271,959,Uttar Pradesh-Shrawasti,Shrawasti
4,Ram Feran,Bharatiya Janata Party,1408,999,1162,2711,2393,3275,2053,1833,2856,3320,3799,4013,3400,3352,3561,3356,3847,3692,3574,4227,3083,2711,2337,3324,2324,2946,2876,2896,2603,2993,3240,2730,2161,2757,636,Uttar Pradesh-Shrawasti,Shrawasti
5,Ahtishamul Haque Khan,Peace Party,56,34,49,124,100,124,94,75,87,113,142,118,105,124,96,101,100,120,136,100,108,100,111,171,84,58,83,148,108,95,95,71,98,130,20,Uttar Pradesh-Shrawasti,Shrawasti
6,Dayaram Das,Rashtriya Jantantrik Bharat Vikas Party,15,14,15,25,21,32,23,20,17,32,28,36,28,21,15,28,25,19,33,24,27,31,31,29,20,12,13,33,38,27,26,17,15,46,7,Uttar Pradesh-Shrawasti,Shrawasti
7,Molhu Ram Rajbhar,Jan Adhikar Party,31,33,31,34,38,21,24,18,21,16,27,28,8,14,21,23,25,23,24,24,22,29,42,47,15,20,30,25,39,19,29,29,57,39,8,Uttar Pradesh-Shrawasti,Shrawasti
8,Ratnesh,Aam Aadmi Party,6,5,13,21,18,21,16,18,16,20,22,25,16,20,18,22,19,14,25,26,18,19,16,20,15,10,16,20,24,18,17,13,15,16,3,Uttar Pradesh-Shrawasti,Shrawasti
9,Rajan Singh,Samyak Party,15,12,11,13,20,21,29,21,15,25,22,24,19,17,18,19,26,30,32,26,31,26,28,22,18,10,20,26,35,29,20,15,12,24,2,Uttar Pradesh-Shrawasti,Shrawasti
10,Rajendra,Bharatiya Subhash Sena,23,28,20,29,36,26,34,36,38,20,33,42,14,32,20,27,27,21,27,21,25,23,25,38,22,11,18,24,38,28,47,32,19,71,5,Uttar Pradesh-Shrawasti,Shrawasti
11,Vijay Kumar,Independent,12,19,23,46,25,22,23,22,19,29,30,36,17,22,22,22,25,32,36,22,20,15,24,36,21,5,16,19,28,35,18,23,19,17,3,Uttar Pradesh-Shrawasti,Shrawasti
12,NOTA,None of the Above,81,82,92,124,125,103,85,110,71,107,111,129,88,92,92,74,64,82,137,91,134,79,99,112,90,38,70,123,132,91,97,60,62,58,9,Uttar Pradesh-Shrawasti,Shrawasti
