O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,state_city,constituency_from_link
1,ZIYAUDDIN RIZVI,Samajwadi Party,3227,1620,2773,3091,2220,2126,3301,2943,3148,4119,3797,2492,3170,2526,3280,2937,3377,2830,3731,2842,3273,2952,3179,2992,2378,533,62,164,139,Uttar Pradesh-Sikanderpur,Sikanderpur
2,BRIJESH SINGH GAT,Indian National Congress,72,75,51,59,43,44,58,58,71,44,85,55,40,52,47,40,61,61,76,52,72,72,68,60,401,20,5,0,8,Uttar Pradesh-Sikanderpur,Sikanderpur
3,SANJAY YADAV,Bharatiya Janata Party,2957,2274,2179,2495,2195,2441,2149,2665,3314,3827,2638,2965,2375,2085,1982,2678,2844,2174,2778,1648,2012,2313,2332,2491,2460,403,155,217,321,Uttar Pradesh-Sikanderpur,Sikanderpur
4,SANJEEV KUMAR VERMA,Bahujan Samaj Party,1051,1519,1330,1476,1814,1698,1271,1025,1084,258,1339,748,1449,1655,543,1409,1001,596,1298,750,1374,941,1461,1018,1078,281,33,28,16,Uttar Pradesh-Sikanderpur,Sikanderpur
5,ASHOK,Jan Adhikar Party,66,138,85,117,62,79,64,100,138,49,95,93,79,69,180,150,56,28,118,47,15,28,27,21,54,20,23,58,0,Uttar Pradesh-Sikanderpur,Sikanderpur
6,PRADEEP KUMAR,Aam Aadmi Party,7,3,11,8,10,2,14,16,14,12,8,13,6,5,5,8,16,9,7,7,10,7,18,8,5,2,0,0,0,Uttar Pradesh-Sikanderpur,Sikanderpur
7,SHRIRAM CHAUDHARY,Communist Party of India (Marxist-Leninist) (Liberation),9,11,16,12,4,8,26,52,49,11,53,72,75,19,13,32,64,84,24,33,16,10,38,9,9,0,0,2,0,Uttar Pradesh-Sikanderpur,Sikanderpur
8,DHARMENDRA,Independent,18,12,11,8,13,5,11,15,24,9,19,16,10,7,11,9,10,3,16,11,10,10,21,18,12,6,0,4,1,Uttar Pradesh-Sikanderpur,Sikanderpur
9,MANOJ KUMAR CHAUHAN,Independent,9,20,15,8,31,28,29,21,21,13,24,20,25,8,17,15,15,21,23,63,59,12,88,27,18,7,1,3,0,Uttar Pradesh-Sikanderpur,Sikanderpur
10,MOHAN,Independent,19,15,13,15,8,12,9,26,36,10,12,17,14,7,11,11,12,8,14,14,13,10,24,17,22,5,1,2,0,Uttar Pradesh-Sikanderpur,Sikanderpur
11,SADDAM HUSSAN,Independent,36,6,19,14,15,14,20,28,31,31,29,20,16,10,6,9,18,18,22,22,13,20,26,28,18,6,2,0,0,Uttar Pradesh-Sikanderpur,Sikanderpur
12,NOTA,None of the Above,54,34,42,31,49,45,38,46,47,51,80,55,45,29,23,39,35,42,31,31,38,40,67,49,32,7,0,6,2,Uttar Pradesh-Sikanderpur,Sikanderpur
