O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,state_city,constituency_from_link
1,Awdhesh Kumar Singh,Bahujan Samaj Party,1069,643,1052,1323,1299,1038,1744,352,1052,1491,730,580,1634,872,1099,2044,903,797,1414,1763,2765,1197,1634,1230,1871,808,1099,1462,1204,2410,824,1532,722,36,Uttar Pradesh-Sikandra Rao,Sikandra Rao
2,CHHAVI VARSHNEY,Indian National Congress,28,24,22,39,29,15,44,45,46,39,28,25,27,45,30,19,21,38,24,49,65,31,48,22,49,37,41,51,49,47,39,28,8,3,Uttar Pradesh-Sikandra Rao,Sikandra Rao
3,Birendra Singh Rana,Bharatiya Janata Party,2719,4461,3971,3321,3356,1508,1808,2364,1859,4197,3966,1968,1917,3481,3135,1609,3236,2377,2698,2773,2873,3407,2957,2713,3129,4246,3739,2846,3120,2783,2375,4504,1907,582,Uttar Pradesh-Sikandra Rao,Sikandra Rao
4,DR. Lalit Pratap Baghel,Samajwadi Party,2816,1145,1481,1829,2676,5731,4029,5291,4388,2172,2376,4245,4142,2347,3398,3446,3509,4190,2802,2822,1149,1557,2189,2613,2219,1821,1787,1443,1511,1883,4161,1158,961,326,Uttar Pradesh-Sikandra Rao,Sikandra Rao
5,Manoj Yadav,Aam Aadmi Party,14,11,4,12,11,39,24,17,18,15,18,24,17,22,20,14,11,25,8,10,11,10,16,19,8,15,14,11,9,7,19,7,7,3,Uttar Pradesh-Sikandra Rao,Sikandra Rao
6,Yogendra Kumar,Rashtriya Samaj Paksha,4,6,4,0,5,6,2,10,8,9,7,9,4,9,8,5,5,9,4,6,5,5,9,7,7,5,3,4,3,5,8,6,1,1,Uttar Pradesh-Sikandra Rao,Sikandra Rao
7,Ram Gopal Dixit,Swadeshi Hind Party,9,3,8,4,6,1,3,4,5,4,3,3,0,4,6,1,2,7,7,3,2,3,7,15,3,5,1,2,9,6,8,3,1,0,Uttar Pradesh-Sikandra Rao,Sikandra Rao
8,Shiv Prakash Kaushal,Shiv Sena,8,4,8,4,6,3,3,3,6,6,9,3,6,8,6,5,8,8,4,3,6,1,6,9,3,5,6,5,4,9,10,6,5,1,Uttar Pradesh-Sikandra Rao,Sikandra Rao
9,Krishan Kumar,Independent,9,12,6,7,7,10,11,6,10,13,7,12,8,16,14,9,8,17,9,8,13,3,15,11,4,8,7,6,9,10,10,4,1,1,Uttar Pradesh-Sikandra Rao,Sikandra Rao
10,JAYPRAKSH SHARMA,Independent,22,20,28,27,22,22,9,14,20,25,18,14,24,29,20,24,13,25,14,27,17,14,28,32,23,11,18,12,15,37,19,11,12,4,Uttar Pradesh-Sikandra Rao,Sikandra Rao
11,Manvendra Singh,Independent,46,56,45,35,47,16,21,24,15,42,38,23,20,73,69,22,41,40,45,23,37,38,36,33,20,35,30,26,27,28,17,31,16,13,Uttar Pradesh-Sikandra Rao,Sikandra Rao
12,Sumant Kumar,Independent,10,11,5,4,11,9,8,11,7,9,6,10,7,11,14,4,9,14,9,8,6,10,15,14,7,13,13,5,8,9,13,5,1,2,Uttar Pradesh-Sikandra Rao,Sikandra Rao
13,NOTA,None of the Above,38,36,44,40,41,38,45,42,24,50,35,25,42,58,29,38,30,42,36,28,40,22,53,47,35,28,23,24,30,27,29,33,22,3,Uttar Pradesh-Sikandra Rao,Sikandra Rao
