O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,state_city,constituency_from_link
1,AJIT SINGH PAL,Bharatiya Janata Party,3109,3439,3500,2819,2868,2917,1470,2104,2460,2422,3124,2957,3064,3322,3176,2972,2417,2291,2324,3235,2575,3555,3027,3974,2969,4132,3831,2711,2353,3666,261,Uttar Pradesh-Sikandra,Sikandra
2,NARESH CHANDRA,Indian National Congress,45,53,71,87,38,56,34,52,70,43,364,343,36,30,43,67,283,174,81,253,182,232,413,323,232,179,310,755,207,61,3,Uttar Pradesh-Sikandra,Sikandra
3,PRABHAKAR PANDEY,Samajwadi Party,1962,2506,2167,2078,1931,2160,3816,4107,2960,1433,1762,1453,1686,1282,697,911,2052,1779,810,2169,800,3093,1080,2147,1927,2375,1723,1376,1695,1467,8,Uttar Pradesh-Sikandra,Sikandra
4,LAL JI,Bahujan Samaj Party,1546,755,1290,985,1233,1420,1278,1129,1366,1807,1369,1620,1030,1469,1192,1339,1026,1428,940,1154,1552,788,1148,1542,1018,717,1336,1432,499,437,40,Uttar Pradesh-Sikandra,Sikandra
5,NEERAJ,Aam Aadmi Party,23,12,10,6,12,11,20,28,13,17,13,15,10,14,12,8,11,12,8,9,17,12,11,19,18,10,21,26,15,4,0,Uttar Pradesh-Sikandra,Sikandra
6,MAHBOOB,Aazad Samaj Party (Kanshi Ram),8,16,8,32,6,7,16,12,20,11,15,22,20,26,15,18,14,23,13,9,21,6,16,16,14,7,14,8,6,5,0,Uttar Pradesh-Sikandra,Sikandra
7,MAN SINGH,Voters Party International,9,7,5,8,7,3,8,7,6,4,6,4,4,6,10,6,8,5,2,15,14,7,31,8,6,5,15,7,5,6,0,Uttar Pradesh-Sikandra,Sikandra
8,RAM GOVIND,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),3,9,4,4,2,2,6,3,10,5,15,8,6,3,3,6,8,4,3,5,7,9,2,14,6,6,15,2,1,2,0,Uttar Pradesh-Sikandra,Sikandra
9,SATYENDRA PRAKASH,Jan Adhikar Party,8,12,85,16,12,19,103,15,8,9,14,10,104,11,19,18,40,14,239,20,10,8,39,18,13,6,15,9,8,2,5,Uttar Pradesh-Sikandra,Sikandra
10,SHISHUPAL,Independent,22,17,23,16,20,21,24,29,28,15,22,27,25,38,19,22,23,16,15,17,22,18,23,26,17,11,19,21,7,15,3,Uttar Pradesh-Sikandra,Sikandra
11,SHUBHAM PAL,Independent,289,167,265,209,193,61,34,51,142,183,142,172,512,115,301,192,350,87,435,367,385,94,241,241,79,201,212,176,142,117,2,Uttar Pradesh-Sikandra,Sikandra
12,SATISH SINGH NAYAK,Independent,10,12,12,19,5,9,16,18,7,12,20,15,19,11,15,28,13,5,5,17,13,16,13,11,8,10,22,9,7,9,2,Uttar Pradesh-Sikandra,Sikandra
13,NOTA,None of the Above,49,53,32,51,36,35,31,49,42,51,58,65,54,51,46,29,23,47,30,32,44,65,44,64,48,46,79,38,44,52,5,Uttar Pradesh-Sikandra,Sikandra
