O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,state_city,constituency_from_link
1,Manveer Singh,Bahujan Samaj Party,760,1132,839,394,151,927,548,319,934,1730,1021,928,1133,3488,1689,3150,1853,359,292,1711,756,1177,969,2097,1429,1379,1596,1576,693,1259,592,2488,1041,1448,493,Uttar Pradesh-Sikandrabad,Sikandrabad
2,Rahul Yadav,Samajwadi Party,2174,2899,4233,4538,4149,2804,5012,5469,3328,2200,3663,3637,2229,2765,2788,815,2047,5625,4283,1677,3574,4338,1325,1279,3901,1431,1962,1057,2089,2599,2229,2004,867,658,26,Uttar Pradesh-Sikandrabad,Sikandrabad
3,Lakshmi Raj,Bharatiya Janata Party,2897,2647,3224,1605,3664,3846,1744,1346,3174,2654,3308,2854,4536,2057,2991,3853,5229,3131,3474,3995,4115,1938,5543,3714,2627,5782,4873,6232,4483,4309,4245,4631,6740,3105,54,Uttar Pradesh-Sikandrabad,Sikandrabad
4,Saleem Akhtar Khan,Indian National Congress,46,132,222,34,34,62,86,44,19,28,39,51,67,121,43,53,78,76,45,59,78,106,80,36,56,40,57,70,51,83,126,43,62,38,2,Uttar Pradesh-Sikandrabad,Sikandrabad
5,Ajay Kumar,Lok Dal,29,5,14,4,6,3,4,3,18,29,10,8,8,31,55,250,34,3,4,11,11,11,15,43,10,6,9,5,6,6,5,7,12,6,0,Uttar Pradesh-Sikandrabad,Sikandrabad
6,Ajay Kumar Sharma,Loktantrik Janshakti Party,5,1,1,0,1,5,6,1,1,5,1,3,5,1,3,6,3,3,6,2,4,5,3,6,4,4,8,7,2,1,6,1,2,3,2,Uttar Pradesh-Sikandrabad,Sikandrabad
7,Amit Singh Tomar,Shiv Sena,5,5,10,0,4,8,6,4,3,6,1,5,7,4,9,13,4,5,5,6,9,3,7,3,10,7,7,5,4,5,3,12,9,7,1,Uttar Pradesh-Sikandrabad,Sikandrabad
8,Darshan Sharma,Aam Aadmi Party,12,10,16,7,6,10,5,5,12,9,8,9,21,9,12,26,18,3,5,8,10,13,14,13,4,16,24,13,9,9,7,20,70,33,1,Uttar Pradesh-Sikandrabad,Sikandrabad
9,Dilshad Ahmad,All India Majlis-E-Ittehadul Muslimeen,118,38,106,44,43,94,140,148,10,9,48,19,21,31,36,19,54,157,56,56,82,96,35,10,20,13,35,5,31,70,60,10,12,3,2,Uttar Pradesh-Sikandrabad,Sikandrabad
10,Raju Thakur,Rashtrawadi Janlok Party (Satya),30,28,45,27,23,33,41,33,22,25,61,27,41,26,47,33,49,54,47,34,39,25,44,35,32,49,31,46,58,45,43,66,67,32,2,Uttar Pradesh-Sikandrabad,Sikandrabad
11,Bablu,Independent,11,12,18,9,24,10,16,22,17,10,14,24,15,13,10,17,13,17,11,15,7,12,18,17,37,20,22,14,9,10,15,19,22,7,0,Uttar Pradesh-Sikandrabad,Sikandrabad
12,NOTA,None of the Above,27,30,39,19,35,28,27,24,38,33,30,34,24,63,37,49,48,24,17,37,30,34,47,55,55,35,34,34,39,27,23,52,37,23,6,Uttar Pradesh-Sikandrabad,Sikandrabad
