O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,state_city,constituency_from_link
1,KESHAV PRASAD MAURYA,Bharatiya Janata Party,3392,2953,2137,3010,2643,2951,3324,4192,3785,3704,3810,2840,4140,4002,3733,3025,3055,2925,3181,2725,3474,3511,2927,2818,3692,3306,2667,1742,3006,2607,2870,243,337,Uttar Pradesh-Sirathu,Sirathu
2,DR. PALLAVI PATEL,Samajwadi Party,2432,4278,3916,3687,3112,3143,3851,3661,2821,3297,2660,3467,2689,2941,3745,3768,3310,4173,3150,4202,3029,3563,3096,2541,3179,2880,3739,4500,4638,2755,2905,215,225,Uttar Pradesh-Sirathu,Sirathu
3,MUNSAB ALI,Bahujan Samaj Party,363,208,243,199,134,342,354,186,117,187,378,702,182,413,188,332,455,326,193,533,169,186,353,308,597,348,308,419,464,422,407,7,11,Uttar Pradesh-Sirathu,Sirathu
4,SEEMA DEVI,Indian National Congress,29,11,22,16,17,25,35,12,16,19,24,66,18,21,14,12,30,29,20,27,31,18,49,34,84,29,24,20,30,34,23,2,2,Uttar Pradesh-Sirathu,Sirathu
5,DHIRAJ KUMAR,Bahujan Mukti Party,9,6,4,7,6,9,14,9,16,10,9,15,11,9,12,13,21,46,14,43,7,1,9,9,15,5,5,7,18,17,16,0,1,Uttar Pradesh-Sirathu,Sirathu
6,RAJENDRA SONKAR (PANNA BHAI),Lok Dal,6,7,1,7,4,8,13,9,5,8,9,11,5,9,17,6,10,6,8,9,14,2,10,6,12,7,4,4,13,5,9,0,0,Uttar Pradesh-Sirathu,Sirathu
7,RAJESH KUMAR,Shiv Sena,5,9,8,7,4,21,7,9,6,9,20,19,8,17,9,8,17,11,6,9,14,4,8,14,12,8,8,6,20,10,4,0,0,Uttar Pradesh-Sirathu,Sirathu
8,VIJAY KUMAR,Samarth Kisan Party,12,11,7,13,21,31,26,23,21,11,12,41,26,19,19,9,32,18,23,24,14,17,14,16,22,25,77,14,52,21,19,1,0,Uttar Pradesh-Sirathu,Sirathu
9,VISHNU KUMAR,Aam Aadmi Party,3,6,3,13,10,19,14,17,16,6,14,11,13,17,8,6,18,12,9,11,5,14,7,11,10,23,10,6,18,9,12,0,2,Uttar Pradesh-Sirathu,Sirathu
10,SHATRUJEET PAL,Rashtriya Samaj Paksha,5,13,3,6,15,30,14,29,11,14,15,16,10,7,13,15,28,26,9,14,18,8,3,12,16,6,11,8,21,9,16,0,1,Uttar Pradesh-Sirathu,Sirathu
11,SHER MOHAMMAD,All India Majlis-E-Ittehadul Muslimeen,23,36,33,23,19,49,11,28,15,26,28,80,24,32,8,28,32,16,60,43,49,15,22,21,17,10,19,48,23,10,12,2,1,Uttar Pradesh-Sirathu,Sirathu
12,SANJIV KUMAR PANDA,Rashtra Uday Party,5,8,7,15,10,20,23,5,9,14,10,13,9,7,7,5,39,14,6,8,6,8,20,14,10,11,12,4,20,15,11,0,2,Uttar Pradesh-Sirathu,Sirathu
13,GYAN SINGH,Sabka Dal United,9,11,6,5,12,20,14,12,12,10,9,29,25,30,10,10,26,15,13,38,9,3,11,93,65,31,71,10,80,168,27,1,0,Uttar Pradesh-Sirathu,Sirathu
14,ARVIND SINGH,Independent,23,18,15,8,19,35,31,25,14,29,27,30,17,19,20,14,19,33,22,28,17,10,13,32,35,19,20,20,35,20,27,1,4,Uttar Pradesh-Sirathu,Sirathu
15,CHHEDDU,Independent,23,28,28,34,24,45,43,43,32,39,33,39,29,30,58,39,53,46,46,46,46,48,30,30,37,46,27,37,73,34,32,0,3,Uttar Pradesh-Sirathu,Sirathu
16,JEETENDRA KUMAR,Independent,75,79,66,93,70,104,100,109,107,92,99,57,63,85,74,82,97,91,88,90,91,71,87,96,98,75,60,51,143,89,91,2,11,Uttar Pradesh-Sirathu,Sirathu
17,PRADEEP KUMAR,Independent,56,36,33,57,38,53,54,71,51,61,60,59,53,62,44,52,53,44,57,50,60,43,54,49,59,54,47,42,67,43,56,0,14,Uttar Pradesh-Sirathu,Sirathu
18,VIRENDRA KUMAR SAHU,Independent,24,34,34,39,28,26,39,38,17,20,28,33,18,27,39,35,36,25,33,42,38,32,28,28,32,19,26,40,55,39,47,0,4,Uttar Pradesh-Sirathu,Sirathu
19,NOTA,None of the Above,17,21,20,17,19,21,25,32,21,15,25,27,26,24,21,14,14,21,25,34,21,24,30,24,26,28,17,21,40,15,40,1,1,Uttar Pradesh-Sirathu,Sirathu
