O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,state_city,constituency_from_link
1,Dhirendra Pratap Singh,Bahujan Samaj Party,712,1009,784,1139,1267,1217,1139,1186,1222,608,713,1251,1172,822,1855,1345,870,1023,748,924,1147,799,864,1371,1084,1290,1325,824,628,628,911,1225,99,175,Uttar Pradesh-Siswa,Siswa
2,Premsagar Patel,Bharatiya Janata Party,4588,4150,3918,3913,3623,3642,4272,4162,3683,3419,3866,3708,4252,3907,3367,3342,4076,4411,4825,3601,2784,3508,3446,3159,3585,3459,4507,5073,4427,4554,4048,4532,823,766,Uttar Pradesh-Siswa,Siswa
3,Raju Kumar Gupta,Indian National Congress,94,200,319,152,112,147,147,162,112,88,102,157,93,154,192,133,122,87,135,125,138,156,96,143,102,142,133,79,40,108,118,115,23,18,Uttar Pradesh-Siswa,Siswa
4,Sushil Kumar Tibrewal,Samajwadi Party,2684,2145,2046,2525,1960,2701,1833,2728,1806,1744,1477,2375,1564,2686,1767,1503,2070,1661,2108,2191,1668,1989,2682,2033,1925,2004,1612,1660,1592,1685,1819,1411,281,205,Uttar Pradesh-Siswa,Siswa
5,Gautam Lal Srivastva,Loktantrik Janta Dal,29,31,21,22,22,33,39,28,24,22,16,20,19,27,38,28,29,21,43,42,30,33,28,35,26,27,46,25,17,29,35,37,6,1,Uttar Pradesh-Siswa,Siswa
6,Deenanath,Vikassheel Insaan Party,6,14,4,3,6,10,6,15,13,3,14,6,12,8,6,7,14,10,18,13,13,10,7,12,12,12,9,8,3,13,18,15,3,0,Uttar Pradesh-Siswa,Siswa
7,Deepak Srivastava,Aam Janta Party (India),9,14,7,8,7,15,16,11,6,7,5,11,11,13,10,12,19,9,12,7,16,6,9,13,12,7,10,15,4,14,2,17,4,3,Uttar Pradesh-Siswa,Siswa
8,Rama Kumar,Aam Aadmi Party,23,19,12,10,16,13,12,15,13,12,22,11,13,21,26,19,34,13,6,19,37,29,9,19,9,13,13,11,9,14,14,8,1,3,Uttar Pradesh-Siswa,Siswa
9,Ajay Kumar Srivastava,Independent,503,372,260,304,372,279,165,209,392,976,610,349,533,498,578,387,344,124,145,235,514,496,377,434,204,227,128,121,124,48,99,153,9,107,Uttar Pradesh-Siswa,Siswa
10,Rakesh Kumar Mishra,Independent,108,252,170,216,175,96,182,79,141,161,278,194,188,248,159,252,454,390,347,440,531,193,171,408,236,338,243,158,147,65,85,286,84,14,Uttar Pradesh-Siswa,Siswa
11,Laldhari,Independent,27,38,28,20,21,31,35,39,31,8,22,30,34,35,28,27,45,29,52,21,38,34,26,22,21,29,34,22,19,29,34,36,7,5,Uttar Pradesh-Siswa,Siswa
12,Harishchandr,Independent,35,60,43,52,38,45,51,56,49,50,49,47,62,52,46,39,71,35,43,36,43,74,32,39,40,53,36,30,18,28,46,31,8,8,Uttar Pradesh-Siswa,Siswa
13,NOTA,None of the Above,59,74,50,49,56,63,70,72,90,49,35,50,51,52,64,54,91,48,72,67,46,61,52,39,68,36,79,53,46,76,87,72,8,9,Uttar Pradesh-Siswa,Siswa
