O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,state_city,constituency_from_link
1,Khurshid Ansari,Bahujan Samaj Party,1412,1258,206,105,228,469,1129,1600,1210,1051,311,146,166,533,916,493,79,745,1088,960,736,1641,444,Uttar Pradesh-Sitapur,Sitapur
2,Rakesh Rathour,Bharatiya Janata Party,4855,4853,2489,1575,4205,4708,5259,5960,4400,3985,4889,5967,5715,4667,5331,3599,2254,5506,4185,3515,4909,4031,2242,Uttar Pradesh-Sitapur,Sitapur
3,Radhey Shyam Jaiswal,Samajwadi Party,4126,3893,7521,7193,3524,2300,3297,3058,3392,4052,1929,2577,2914,3713,2976,6646,7513,4298,4701,5749,5143,4977,1828,Uttar Pradesh-Sitapur,Sitapur
4,Shamina Shafiq,Indian National Congress,112,140,175,152,99,77,104,118,158,134,150,200,132,109,97,141,97,88,94,158,144,139,59,Uttar Pradesh-Sitapur,Sitapur
5,Anand Jaiswal,Aam Aadmi Party,19,24,13,8,12,13,21,25,22,39,23,26,20,29,20,19,11,19,14,14,19,14,8,Uttar Pradesh-Sitapur,Sitapur
6,Dr. Babu Ram Gautam,All India Peoples' Front (Radical),36,31,5,3,6,4,8,17,12,23,7,6,9,5,15,8,3,12,8,10,12,20,9,Uttar Pradesh-Sitapur,Sitapur
7,Ramshankar,Sabka Dal United,15,40,1,2,0,1,10,17,15,12,3,3,1,4,21,9,1,26,8,13,38,8,8,Uttar Pradesh-Sitapur,Sitapur
8,Satyendra Kumar,Bharatiya Subhash Sena,42,14,5,0,5,5,9,8,9,12,3,3,5,12,15,8,5,10,14,11,18,17,4,Uttar Pradesh-Sitapur,Sitapur
9,Azaan,Independent,39,26,7,5,6,10,26,36,26,36,5,7,8,15,20,21,3,29,21,32,24,31,27,Uttar Pradesh-Sitapur,Sitapur
10,Dinesh Kumar Jaiswal,Independent,18,27,6,3,1,2,10,27,10,10,3,12,6,10,23,12,1,14,14,13,19,17,6,Uttar Pradesh-Sitapur,Sitapur
11,Pankaj Mishra,Independent,13,22,9,2,6,4,14,18,22,25,4,3,6,9,16,11,6,18,12,16,24,24,9,Uttar Pradesh-Sitapur,Sitapur
12,Rakesh,Independent,24,28,8,2,8,10,23,31,23,21,7,4,6,6,29,24,5,20,61,32,30,33,15,Uttar Pradesh-Sitapur,Sitapur
13,Rupendra Kumar,Independent,59,50,31,17,9,21,24,46,60,51,6,9,18,18,42,32,34,34,45,50,61,43,18,Uttar Pradesh-Sitapur,Sitapur
14,Saket Mishra,Independent,524,339,81,136,450,945,423,681,1186,817,727,479,498,299,412,173,101,340,273,237,355,603,403,Uttar Pradesh-Sitapur,Sitapur
15,NOTA,None of the Above,75,80,31,19,20,28,62,109,87,67,40,24,28,34,69,48,29,58,61,73,65,82,32,Uttar Pradesh-Sitapur,Sitapur
