O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,state_city,constituency_from_link
1,GHULAM MOHAMMAD,Rashtriya Lok Dal,3385,3610,3276,3284,4375,4087,2758,2802,4611,7121,4483,1952,2949,1413,2159,3455,2411,3337,3719,3595,3365,2568,4728,2647,7627,5879,3159,2415,38,138,Uttar Pradesh-Siwalkhas,Siwalkhas
2,JAGDISH PRASAD,Indian National Congress,37,39,27,54,32,31,53,85,47,35,55,97,129,97,54,48,50,93,59,65,49,39,40,53,38,24,52,76,1,0,Uttar Pradesh-Siwalkhas,Siwalkhas
3,MANINDER PAL,Bharatiya Janata Party,3625,3407,4236,3761,3586,2462,4053,3615,2560,882,3737,3897,3080,3903,3681,4099,3514,2916,3611,3100,3149,4609,1895,3282,1202,1458,3554,4181,574,346,Uttar Pradesh-Siwalkhas,Siwalkhas
4,MUKRRAM ALI URF NANHE KHATUN,Bahujan Samaj Party,361,293,249,752,1260,724,716,461,633,588,568,1536,869,726,1264,1937,2780,2098,1260,1278,1186,875,834,833,619,862,1662,1897,567,162,Uttar Pradesh-Siwalkhas,Siwalkhas
5,AMIT JANI,All India Forward Bloc,50,56,19,22,120,23,85,9,21,21,99,146,99,80,59,70,45,37,60,83,20,85,66,74,28,57,38,41,4,4,Uttar Pradesh-Siwalkhas,Siwalkhas
6,KULDEEP,Aam Aadmi Party,6,12,2,4,15,4,10,13,3,7,14,16,9,25,7,9,9,10,21,6,11,9,10,12,4,6,12,12,2,4,Uttar Pradesh-Siwalkhas,Siwalkhas
7,JAGBIR SINGH,Bhartiya Janta Dal,3,2,3,3,4,3,6,5,2,5,6,9,3,8,2,5,3,8,18,5,1,5,7,9,10,4,3,5,0,0,Uttar Pradesh-Siwalkhas,Siwalkhas
8,TEHZEEB,India Janshakti Party,6,2,4,0,9,8,6,4,8,11,3,9,7,9,7,6,6,10,5,7,6,7,8,9,5,3,6,7,0,2,Uttar Pradesh-Siwalkhas,Siwalkhas
9,BHUPENDRA SINGH,Aazad Samaj Party (Kanshi Ram),14,8,17,5,24,118,11,34,6,23,35,19,20,7,13,12,19,21,27,16,8,8,17,26,16,17,65,20,2,4,Uttar Pradesh-Siwalkhas,Siwalkhas
10,RAFAT,All India Majlis-E-Ittehadul Muslimeen,285,15,112,163,145,48,8,11,200,756,109,19,15,9,23,53,33,109,154,41,13,6,81,20,203,143,219,19,5,0,Uttar Pradesh-Siwalkhas,Siwalkhas
11,NASIM,Independent,17,9,27,8,31,19,23,26,24,23,31,41,36,26,26,35,20,29,22,24,27,24,25,29,15,16,33,25,3,4,Uttar Pradesh-Siwalkhas,Siwalkhas
12,SUBHASH,Independent,3,11,6,7,7,9,11,8,8,14,37,11,14,7,6,11,7,12,4,11,5,4,11,13,11,11,14,9,2,3,Uttar Pradesh-Siwalkhas,Siwalkhas
13,NOTA,None of the Above,38,30,51,26,48,31,17,27,49,82,48,32,23,26,25,33,28,31,24,38,34,14,32,25,27,36,24,26,2,1,Uttar Pradesh-Siwalkhas,Siwalkhas
