O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,state_city,constituency_from_link
1,Anand Bharti,Bahujan Samaj Party,826,1013,500,578,270,682,1150,852,720,872,856,1341,1254,1014,712,1196,686,1034,1206,654,953,1013,883,701,1074,1039,809,827,1218,992,568,1326,269,80,Uttar Pradesh-Soraon,Soraon 
2,Geeta Shastri (Pasi),Samajwadi Party,2811,2535,3350,2654,3118,2470,3305,2653,2533,2358,2819,2730,2431,3384,3354,3069,2989,2184,3328,2120,2126,2368,2371,2822,2621,2884,2937,2983,3253,3336,2649,3247,783,250,Uttar Pradesh-Soraon,Soraon 
3,Manoj Kumar Pasi,Indian National Congress,44,87,60,34,38,37,70,42,39,53,64,90,56,83,58,64,50,83,193,59,61,56,38,61,45,53,44,106,59,53,61,65,13,1,Uttar Pradesh-Soraon,Soraon 
4,Anil Kumar Gautam,Aazad Samaj Party (Kanshi Ram),52,45,45,43,13,49,58,63,54,62,92,73,49,50,22,73,58,77,57,46,72,30,48,54,34,37,47,48,47,38,26,44,5,7,Uttar Pradesh-Soraon,Soraon 
5,Dr. Jamuna Prasad Saroj,Apna Dal (Soneylal),2230,2899,2574,1993,1262,2430,2408,2888,3757,2999,3372,3024,2952,3269,2655,3234,3116,3842,2998,2417,3369,1954,3069,2674,2022,1934,2587,2125,2757,1825,2229,1795,606,395,Uttar Pradesh-Soraon,Soraon 
6,Pradeep Kumar Jatav,Ambedkarite Party of India,32,32,33,22,16,37,29,39,44,41,50,30,31,34,16,43,31,54,38,28,35,22,41,45,21,19,39,42,27,26,24,23,7,4,Uttar Pradesh-Soraon,Soraon 
7,Ratnesh Kumar Chaudhari,Pragatisheel Samaj Party,18,34,23,22,7,22,29,33,34,35,42,38,36,30,26,32,30,34,30,29,45,17,31,56,24,28,29,36,34,21,11,27,5,4,Uttar Pradesh-Soraon,Soraon 
8,Rakesh Kumar,Lok Samaj Party,23,30,18,36,8,39,15,37,26,25,29,35,20,35,12,31,25,27,27,22,34,10,28,13,18,11,13,15,23,17,17,22,2,3,Uttar Pradesh-Soraon,Soraon 
9,Lallan,Aam Aadmi Party,33,26,27,19,9,29,22,40,36,39,36,37,30,22,27,38,44,34,115,23,43,22,29,37,24,27,49,23,29,7,14,17,2,2,Uttar Pradesh-Soraon,Soraon 
10,Sita Ram,All India Majlis-E-Ittehadul Muslimeen,408,79,223,428,840,382,152,178,33,28,85,134,65,65,312,44,138,228,72,39,31,143,86,490,127,72,26,24,25,29,65,24,23,23,Uttar Pradesh-Soraon,Soraon 
11,Sudhir Kumar,Jansatta Dal Loktantrik,40,32,24,27,9,20,22,72,32,77,36,48,57,43,49,42,28,51,37,27,50,16,18,18,53,28,30,16,39,25,30,73,6,5,Uttar Pradesh-Soraon,Soraon 
12,Rakesh Kumar Gautam,Independent,32,23,40,23,11,36,41,29,49,46,49,43,35,38,28,46,24,60,35,34,37,27,36,33,12,38,31,39,39,21,30,32,9,2,Uttar Pradesh-Soraon,Soraon 
13,NOTA,None of the Above,71,44,35,34,19,57,75,49,62,56,58,60,58,51,42,84,31,67,63,49,62,37,66,66,38,52,46,59,61,52,37,51,15,2,Uttar Pradesh-Soraon,Soraon 
