O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,state_city,constituency_from_link
1,Adhyapak Shanker Lal,Bahujan Samaj Party,185,298,417,70,470,130,225,1047,71,17,543,166,52,179,805,915,119,490,1502,249,38,43,785,2936,1539,1044,628,Uttar Pradesh-Suar,Suar
2,Mohammad Abdullah Azam Khan,Samajwadi Party,5023,4344,3024,5966,5029,6348,4539,4890,5393,5590,4063,3535,5529,5351,3719,4156,5407,2181,3717,7436,7127,5386,2984,3748,2970,4721,3621,Uttar Pradesh-Suar,Suar
3,Ram Raksha Pal Singh Alias Raja Thakur,Indian National Congress,68,43,42,62,53,43,66,45,43,31,50,35,33,60,37,30,31,23,41,37,29,38,41,36,59,34,24,Uttar Pradesh-Suar,Suar
4,Arshad Warsi,Minorities Democratic Party,24,36,20,17,34,18,23,21,56,6,35,31,23,10,20,19,23,18,27,9,7,10,16,23,27,20,21,Uttar Pradesh-Suar,Suar
5,Mohd Asif,Aam Aadmi Party,40,32,43,35,33,9,34,54,63,25,47,30,45,21,31,19,24,27,28,12,4,20,31,13,19,26,14,Uttar Pradesh-Suar,Suar
6,Jagpal Singh,Pichhra Samaj Party,35,31,44,16,18,21,32,20,21,4,34,44,27,11,21,18,18,28,49,7,7,18,29,18,24,24,20,Uttar Pradesh-Suar,Suar
7,Haidar Ali Khan Alias Hamza Mian,Apna Dal (Soneylal),3710,3888,5493,1001,1693,1023,2636,1222,2127,763,3283,4685,1801,1487,2799,2164,2100,4216,3438,916,747,2224,3660,1287,2924,2004,1622,Uttar Pradesh-Suar,Suar
8,Ikram Hussain,Independent,52,52,66,21,36,27,57,34,35,12,82,126,44,19,49,49,35,71,99,16,14,38,82,39,78,57,47,Uttar Pradesh-Suar,Suar
9,Monis Khan,Independent,35,28,37,21,14,32,32,33,24,19,31,30,35,21,30,35,28,24,37,26,7,22,29,30,41,39,34,Uttar Pradesh-Suar,Suar
10,Shiv Prasad,Independent,27,22,21,18,12,21,18,25,15,10,14,29,24,22,31,24,27,20,24,15,11,22,20,38,39,28,25,Uttar Pradesh-Suar,Suar
11,NOTA,None of the Above,40,47,55,28,22,42,48,32,28,17,43,54,39,22,40,34,42,46,42,35,29,28,42,46,43,46,34,Uttar Pradesh-Suar,Suar
