O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,state_city,constituency_from_link
1,ANOOP SANDA,Samajwadi Party,2455,2759,2423,2570,2676,3017,3319,2898,3228,2809,2214,2429,3228,1942,4020,3876,1674,1894,2148,2884,3568,3556,3147,3680,3052,2664,3286,3234,3359,2981,2404,1297,166,Uttar Pradesh-Sultanpur,Sultanpur
2,DR. DEVI SAHAY MISHRA,Bahujan Samaj Party,1022,887,743,679,782,1062,1025,503,148,968,1005,1112,843,762,449,493,210,187,125,226,61,302,276,1046,586,1241,1363,1032,833,1004,830,576,66,Uttar Pradesh-Sultanpur,Sultanpur
3,FIROZ KHAN,Indian National Congress,65,64,75,58,61,70,86,52,101,84,140,78,50,89,66,107,83,72,53,107,80,79,66,90,147,88,121,101,106,86,76,42,2,Uttar Pradesh-Sultanpur,Sultanpur
4,VINOD SINGH,Bharatiya Janata Party,2895,2412,2968,2973,2371,2855,2559,2508,2241,2475,3789,2466,2156,3204,3207,2220,3453,4205,3319,3303,3280,3527,3174,2560,3126,3670,3527,2671,2390,2282,2423,1878,158,Uttar Pradesh-Sultanpur,Sultanpur
5,MIRJA AKRAM BEG,All India Majlis-E-Ittehadul Muslimeen,55,44,29,38,30,49,284,373,395,144,113,69,459,180,350,280,34,42,88,184,120,75,120,63,336,181,223,326,199,177,88,90,2,Uttar Pradesh-Sultanpur,Sultanpur
6,DHARMESH KUMAR,Aam Aadmi Party,11,38,14,9,6,18,9,10,16,8,8,7,6,12,17,8,7,10,6,6,4,13,7,7,8,10,10,15,13,11,12,6,0,Uttar Pradesh-Sultanpur,Sultanpur
7,VINDHYA,Vikassheel Insaan Party,12,377,7,17,16,5,12,151,262,116,61,4,4,45,96,17,4,9,2,1,5,2,4,7,4,81,8,9,80,35,126,7,1,Uttar Pradesh-Sultanpur,Sultanpur
8,SHANTI PATEL,Aam Janta Party (India),21,39,24,18,13,14,28,27,17,16,28,10,13,28,22,12,2,6,10,1,5,8,9,19,6,16,12,7,17,10,15,13,0,Uttar Pradesh-Sultanpur,Sultanpur
9,SIDDHARTH BHIM BAUDDH,Bahujan Mukti Party,9,18,12,14,17,12,15,22,12,6,18,12,7,8,11,8,2,5,3,4,2,6,2,14,19,13,19,14,10,12,8,7,1,Uttar Pradesh-Sultanpur,Sultanpur
10,MIRJA ATAHAR VEG,Independent,25,34,21,21,19,14,23,14,20,18,20,17,18,13,22,9,2,7,3,0,3,5,4,16,1,10,21,16,13,21,14,9,2,Uttar Pradesh-Sultanpur,Sultanpur
11,NOTA,None of the Above,45,92,57,53,39,44,55,48,36,61,54,47,63,53,60,32,20,25,13,33,31,29,23,45,39,34,47,74,69,46,29,42,2,Uttar Pradesh-Sultanpur,Sultanpur
