O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,state_city,constituency_from_link
1,AJAY KUMAR LALLU,Indian National Congress,936,1219,1000,844,906,835,872,1620,1652,798,1556,2028,1532,1208,1228,1057,1265,1566,1224,1300,1256,959,977,722,452,818,852,936,440,435,524,353,Uttar Pradesh-Tamkuhi Raj,Tamkuhi Raj
2,ASIM KUMAR,Bharatiya Janata Party,3926,4033,3696,2978,2742,3431,4269,4196,4418,2928,3832,3829,4027,2917,3717,3310,4014,2963,3826,3929,3451,3899,3672,3364,2815,3537,3706,3225,3495,3445,3830,3537,Uttar Pradesh-Tamkuhi Raj,Tamkuhi Raj
3,UDAY NARAYAN,Samajwadi Party,1311,1137,1425,1218,1540,1766,1553,944,1212,1840,1636,1751,1701,1924,1372,2586,2022,1585,1579,715,1210,1977,1367,1782,1635,1660,1583,1540,1426,1258,1098,1073,Uttar Pradesh-Tamkuhi Raj,Tamkuhi Raj
4,MATIULLAH,Communist Party of India,70,74,100,76,68,80,96,41,40,46,95,106,86,58,54,89,88,85,78,83,70,71,56,68,44,66,49,59,50,60,65,63,Uttar Pradesh-Tamkuhi Raj,Tamkuhi Raj
5,SANJAY,Bahujan Samaj Party,669,724,1455,646,897,764,870,182,114,642,294,586,394,435,480,181,441,266,471,337,488,530,430,469,308,346,308,436,610,939,620,513,Uttar Pradesh-Tamkuhi Raj,Tamkuhi Raj
6,KESHAV KUMAR GUPTA,Vikassheel Insaan Party,19,18,32,36,30,23,24,15,12,26,96,17,13,25,13,23,17,17,17,8,24,12,25,15,29,10,6,12,12,22,32,21,Uttar Pradesh-Tamkuhi Raj,Tamkuhi Raj
7,MAN SINGH CHAUHAN,Jan Adhikar Party,38,52,66,99,112,74,79,43,21,62,41,68,20,37,19,127,41,29,83,12,34,103,14,52,79,25,13,53,45,25,25,21,Uttar Pradesh-Tamkuhi Raj,Tamkuhi Raj
8,SHRIKANT SINGH,Janata Dal (United),13,21,27,20,18,18,17,20,11,18,24,44,23,9,18,15,21,21,18,12,6,21,55,21,12,13,7,13,13,15,18,15,Uttar Pradesh-Tamkuhi Raj,Tamkuhi Raj
9,SANJAY KUMAR RAI,Aam Aadmi Party,27,14,36,14,32,23,121,18,9,9,19,18,21,17,15,17,10,17,15,26,16,14,11,14,13,17,7,22,16,19,23,15,Uttar Pradesh-Tamkuhi Raj,Tamkuhi Raj
10,RAJU GUPTA,Independent,33,16,37,41,32,32,44,10,12,18,10,25,20,17,26,21,15,17,28,10,24,40,22,22,24,21,11,32,31,28,36,18,Uttar Pradesh-Tamkuhi Raj,Tamkuhi Raj
11,VISHNU PRABHAKAR MISHRA,Independent,61,41,61,45,53,60,66,24,28,34,40,31,39,41,46,62,26,39,64,36,37,60,28,53,27,41,31,47,41,57,45,31,Uttar Pradesh-Tamkuhi Raj,Tamkuhi Raj
12,HARIKESH,Independent,98,63,51,47,61,81,75,32,48,43,36,54,59,43,54,75,58,61,63,70,54,69,59,76,61,53,39,76,88,64,81,63,Uttar Pradesh-Tamkuhi Raj,Tamkuhi Raj
13,NOTA,None of the Above,102,92,102,59,85,77,96,63,47,52,44,78,86,66,64,96,86,61,100,73,79,109,60,73,54,78,63,85,96,87,114,58,Uttar Pradesh-Tamkuhi Raj,Tamkuhi Raj
