O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,state_city,constituency_from_link
1,Kapil Deo,Bharatiya Janata Party,2575,2437,2446,2603,1531,1640,743,2391,2894,2421,2988,2641,2400,3386,2975,3140,2702,2887,2054,2192,1812,1881,1887,2090,3888,2347,Uttar Pradesh-Tanda,Tanda
2,Merajuddhin,Indian National Congress,65,63,48,70,80,61,68,53,45,68,64,71,68,64,91,109,76,61,47,71,55,53,51,71,331,63,Uttar Pradesh-Tanda,Tanda
3,Ram Murti Verma,Samajwadi Party,2827,3084,3318,3019,6577,5973,7319,5524,4348,4000,2916,4560,2969,2796,2523,3527,2490,3439,3045,3520,2946,4241,2813,2781,2605,1282,Uttar Pradesh-Tanda,Tanda
4,Shabana Khatoon,Bahujan Samaj Party,3224,2289,2430,2125,1379,858,679,464,635,2000,1568,1384,1948,1687,1983,2123,1633,1757,1618,1851,1975,2015,2119,1986,1938,1348,Uttar Pradesh-Tanda,Tanda
5,Irfan Ahmad,All India Majlis-E-Ittehadul Muslimeen,152,250,25,39,535,615,647,866,288,535,31,627,67,60,149,148,52,54,153,305,119,589,328,326,433,38,Uttar Pradesh-Tanda,Tanda
6,Javed Ahmad Siddiqui,Bahujan Mukti Party,20,12,11,19,11,16,15,11,2,25,73,27,43,56,22,63,61,8,28,14,46,16,68,65,73,65,Uttar Pradesh-Tanda,Tanda
7,Daya Ram,Vikassheel Insaan Party,11,2,6,9,4,7,0,2,4,3,7,8,4,15,15,81,8,6,2,4,6,5,9,24,59,452,Uttar Pradesh-Tanda,Tanda
8,Mewalal Yadav,Moulik Adhikar Party,25,28,20,13,12,12,9,9,6,23,16,27,12,10,24,24,24,11,28,16,19,15,17,12,20,31,Uttar Pradesh-Tanda,Tanda
9,Rakesh Verma,Aam Aadmi Party,33,40,65,90,16,17,5,8,17,70,28,25,71,47,18,23,28,45,18,8,15,11,20,17,13,24,Uttar Pradesh-Tanda,Tanda
10,Ram Saran,Voters Party International,15,7,12,9,7,8,2,2,7,15,6,13,9,7,15,6,12,10,13,13,8,9,3,18,11,10,Uttar Pradesh-Tanda,Tanda
11,Mohd. Sagheer,Aazad Samaj Party (Kanshi Ram),35,20,34,34,19,8,3,3,11,33,12,29,31,20,24,29,27,38,68,100,19,30,34,37,41,21,Uttar Pradesh-Tanda,Tanda
12,Khurshed Ahmad,Independent,23,19,29,18,15,8,4,5,13,20,19,16,26,34,19,30,21,23,18,20,22,16,11,25,22,21,Uttar Pradesh-Tanda,Tanda
13,Shiv Poojan,Independent,26,11,10,22,13,15,6,3,5,7,11,14,8,22,17,21,22,22,17,9,6,21,19,16,17,26,Uttar Pradesh-Tanda,Tanda
14,NOTA,None of the Above,47,40,69,55,37,35,23,23,33,48,58,61,34,62,55,63,60,63,42,41,38,43,38,35,62,44,Uttar Pradesh-Tanda,Tanda
