O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,state_city,constituency_from_link
1,TVARITA SINGH,Indian National Congress,84,67,166,99,102,101,106,74,113,70,79,92,63,76,66,65,111,118,87,66,88,76,78,97,82,64,100,85,69,106,30,4,Uttar Pradesh-Tarabganj,Tarabganj
2,PREM NRAYAN PANDEY,Bharatiya Janata Party,4343,3755,4412,5115,4725,4733,5076,4203,4758,3973,3840,3193,3761,4053,3697,4057,4068,4146,3937,3687,3711,4316,4174,4644,4370,3568,3923,3903,4879,3575,294,317,Uttar Pradesh-Tarabganj,Tarabganj
3,RAM BHAJAN CHAUBEY,Samajwadi Party,2241,2730,2915,1721,1983,1661,1907,1653,1849,1908,1660,2609,1510,2344,1641,2645,2560,2811,2716,3178,2966,1434,2271,2312,2947,2819,3233,3301,1346,3072,1543,104,Uttar Pradesh-Tarabganj,Tarabganj
4,LALJI,Bahujan Samaj Party,111,64,75,55,46,138,96,75,93,75,105,98,85,103,41,98,131,194,81,73,97,47,95,130,219,430,218,193,150,222,109,2,Uttar Pradesh-Tarabganj,Tarabganj
5,JASWANT SINGH,Aam Aadmi Party,13,17,12,9,15,13,8,12,13,14,14,24,11,18,9,13,18,21,9,19,14,9,13,12,21,13,20,22,14,20,3,0,Uttar Pradesh-Tarabganj,Tarabganj
6,PRAMOD KUMAR,Samrat Ashok Sena Party,15,7,29,11,14,8,17,8,12,13,9,13,10,18,8,12,31,14,12,35,10,14,8,8,13,12,14,13,9,10,5,2,Uttar Pradesh-Tarabganj,Tarabganj
7,OM PRAKESH,Independent,14,18,17,15,21,17,20,23,25,34,58,26,34,24,14,60,26,18,15,15,22,10,12,13,22,47,14,29,71,31,4,1,Uttar Pradesh-Tarabganj,Tarabganj
8,RAVI KESH,Independent,38,54,43,63,33,55,47,45,61,46,42,49,52,40,35,32,47,57,34,33,41,28,27,36,53,49,56,65,31,37,3,1,Uttar Pradesh-Tarabganj,Tarabganj
9,SANJAI KUMAR SHUKLA,Independent,37,25,24,21,29,28,28,27,29,13,21,29,23,38,19,28,40,42,34,29,40,18,24,28,37,36,35,45,21,45,11,1,Uttar Pradesh-Tarabganj,Tarabganj
10,SANDEEP KUMAR,Independent,52,39,43,43,36,45,52,44,49,47,46,44,35,55,41,46,43,56,37,29,45,44,42,37,46,55,37,50,34,50,18,2,Uttar Pradesh-Tarabganj,Tarabganj
11,NOTA,None of the Above,76,71,73,70,90,63,109,65,75,90,52,90,69,102,69,80,81,137,76,44,82,70,82,71,71,76,74,103,51,80,61,5,Uttar Pradesh-Tarabganj,Tarabganj
