O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,state_city,constituency_from_link
1,NOKHEY LAL,Communist Party of India,47,33,23,22,16,19,24,43,31,37,34,22,30,56,61,33,55,37,74,62,43,48,45,42,56,45,41,32,53,62,19,Uttar Pradesh-Tilhar,Tilhar
2,NAWAB FAIZAN ALI KHAN,Bahujan Samaj Party,522,198,200,104,129,158,292,179,57,576,292,174,260,398,112,203,713,400,390,214,360,338,490,598,967,575,344,700,938,1147,229,Uttar Pradesh-Tilhar,Tilhar
3,RAJNISH GUPTA,Indian National Congress,99,95,39,92,52,56,58,198,39,53,35,45,87,64,58,44,56,134,80,120,79,116,80,102,50,138,260,151,168,191,235,Uttar Pradesh-Tilhar,Tilhar
4,ROSHAN LAL VERMA,Samajwadi Party,2810,3483,4616,3570,4073,3692,4148,3316,2780,3057,2112,3814,2364,2220,2366,2340,1766,2708,2791,2929,3080,2348,3090,3852,2194,2369,3298,3144,1423,1560,1400,Uttar Pradesh-Tilhar,Tilhar
5,SALONA KUSHWAHA,Bharatiya Janata Party,3280,2468,1869,3423,2574,3497,2257,3239,3668,2699,3707,3077,3962,4591,4779,3808,3384,3768,4944,4636,3353,4110,3083,2815,3547,3836,2415,1673,3732,2947,954,Uttar Pradesh-Tilhar,Tilhar
6,PRAMOD KUMAR YADAV,Bhartiya Krishak Dal,36,40,13,13,19,26,16,26,37,25,27,15,32,40,59,30,33,52,55,62,33,35,45,26,25,25,18,25,24,26,9,Uttar Pradesh-Tilhar,Tilhar
7,VISHAMBAR DAYAL,Aam Aadmi Party,10,5,1,2,1,11,3,7,7,5,8,8,3,15,7,4,10,10,6,5,7,15,8,6,25,17,109,33,17,13,1,Uttar Pradesh-Tilhar,Tilhar
8,SARITA YADAV,Rashtriya Samaj Paksha,9,12,4,4,6,6,9,10,4,22,9,7,10,13,11,7,16,7,8,10,5,15,10,7,11,20,8,11,9,12,2,Uttar Pradesh-Tilhar,Tilhar
9,SAKIR,Lok Janshakti Party(Ram Vilas),7,6,4,3,0,5,4,4,9,7,10,4,9,8,8,5,6,6,7,7,6,9,9,9,11,9,14,22,9,9,2,Uttar Pradesh-Tilhar,Tilhar
10,HARISHCHANDRA SHARMA,Bharatiya Subhash Sena,19,14,6,5,3,6,5,10,11,13,12,8,8,16,15,4,13,12,8,10,8,9,12,13,11,22,17,4,10,10,3,Uttar Pradesh-Tilhar,Tilhar
11,ABHISHEK SINGH KUSHWAHA,Independent,14,30,10,8,5,5,23,26,36,33,40,14,33,27,23,26,23,31,26,28,19,39,21,14,17,31,27,19,20,15,10,Uttar Pradesh-Tilhar,Tilhar
12,BABU SINGH,Independent,24,28,16,4,13,10,40,33,30,25,40,36,29,42,25,27,29,55,28,41,13,27,15,34,9,31,47,22,21,16,12,Uttar Pradesh-Tilhar,Tilhar
13,RAM ASEREY,Independent,24,21,9,44,10,13,23,27,16,24,17,14,16,8,16,21,32,20,32,37,19,36,20,23,28,31,25,11,25,20,10,Uttar Pradesh-Tilhar,Tilhar
14,SUMIT SRIVASTAV,Independent,10,7,5,5,4,6,12,14,6,12,10,29,19,12,16,8,15,8,11,11,10,14,11,19,13,11,18,9,19,26,4,Uttar Pradesh-Tilhar,Tilhar
15,NOTA,None of the Above,34,22,22,16,31,28,22,21,20,22,27,16,24,17,28,22,38,19,31,24,26,42,30,33,22,22,24,24,25,27,12,Uttar Pradesh-Tilhar,Tilhar
