O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,state_city,constituency_from_link
1,MOHD NAIM,Samajwadi Party,1582,1729,2992,2662,2349,1548,3668,2852,2455,2642,2092,2517,1647,1012,2225,2119,2898,1095,2444,2525,3777,3200,2332,3511,3044,2854,2874,3847,978,Uttar Pradesh-Tiloi,Tiloi
2,PRADEEP SINGHAL,Indian National Congress,1394,799,416,490,913,1474,534,569,538,1081,646,864,590,1290,571,510,477,540,585,344,654,829,698,810,1466,1632,549,373,268,Uttar Pradesh-Tiloi,Tiloi
3,MAYANKESHWAR SHARAN SINGH,Bharatiya Janata Party,3094,4230,2978,2955,3638,3725,2970,3474,3476,3421,4091,3765,4311,3451,4637,4450,3668,4371,4093,3984,2284,2196,3227,3385,2848,3067,3436,3024,1058,Uttar Pradesh-Tiloi,Tiloi
4,RAGHUVANSH,Bahujan Samaj Party,312,483,196,343,335,335,205,263,128,136,236,173,154,145,342,158,167,217,115,99,74,62,145,238,401,230,157,192,70,Uttar Pradesh-Tiloi,Tiloi
5,AMARNATH PANDEY,Aam Aadmi Party,27,19,19,15,16,26,20,6,17,12,17,22,28,10,17,11,18,14,4,8,4,2,18,23,49,18,14,11,5,Uttar Pradesh-Tiloi,Tiloi
6,MANOJ KUMAR,Akhil Bhartiya Jansatta Party,6,3,5,4,5,9,2,7,3,8,5,4,6,5,12,5,6,5,5,5,10,5,13,11,16,7,4,10,2,Uttar Pradesh-Tiloi,Tiloi
7,Ram Snehi,Rashtriya Samaj Paksha,13,12,7,7,35,17,11,10,5,19,20,11,6,7,7,15,16,6,9,12,6,6,14,12,11,12,7,11,4,Uttar Pradesh-Tiloi,Tiloi
8,Mohd Masoom,Independent,7,10,3,7,6,6,6,2,3,5,8,4,6,7,10,10,4,5,1,6,1,8,7,11,9,12,7,9,3,Uttar Pradesh-Tiloi,Tiloi
9,Mukesh Kumar,Independent,11,11,6,6,4,11,8,3,5,6,6,3,6,11,8,7,5,6,7,4,3,5,10,10,15,11,8,8,1,Uttar Pradesh-Tiloi,Tiloi
10,Rajkumar,Independent,12,9,6,8,7,6,2,4,6,7,4,9,4,4,12,11,4,9,5,4,4,3,9,9,15,9,5,6,4,Uttar Pradesh-Tiloi,Tiloi
11,Sudhir Kumar Singh,Independent,20,26,24,18,29,21,14,19,12,14,26,23,18,21,22,18,16,15,17,10,15,10,22,20,35,26,24,18,7,Uttar Pradesh-Tiloi,Tiloi
12,Sandeep Kumar,Independent,46,62,49,28,52,57,31,41,46,28,48,32,45,61,40,31,40,39,50,38,35,21,34,43,35,37,29,25,9,Uttar Pradesh-Tiloi,Tiloi
13,Harinam Singh,Independent,25,38,21,13,24,43,12,18,17,18,29,27,23,26,26,24,22,20,15,22,14,14,27,20,27,32,24,24,5,Uttar Pradesh-Tiloi,Tiloi
14,NOTA,None of the Above,87,65,71,62,64,78,68,50,56,53,76,75,54,52,69,61,48,42,47,60,52,52,60,74,91,78,76,74,13,Uttar Pradesh-Tiloi,Tiloi
