O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,R-36,R-37,R-38,state_city,constituency_from_link
1,Ajay Kumar,Bahujan Samaj Party,198,659,457,530,609,805,438,152,421,352,642,373,235,387,521,365,262,278,309,532,316,781,454,508,1357,533,1697,1145,479,937,790,957,1754,1201,1057,283,165,84,Uttar Pradesh-Tirwa,Tirwa
2,Anil Kumar Pal,Samajwadi Party,3972,2767,3351,2184,2057,2751,3424,3220,3617,2966,3337,3935,2479,2361,3660,2060,3245,2409,2223,1713,3339,3698,2922,1652,2743,3545,2326,2302,1370,3076,2648,2163,2954,2057,2889,1915,968,513,Uttar Pradesh-Tirwa,Tirwa
3,Kailash Rajput,Bharatiya Janata Party,2464,3339,2576,3595,3718,2920,2449,1706,2130,3296,1792,1947,3082,2577,2770,3167,2273,4119,3450,4220,3371,2147,3200,3581,2569,2091,1958,2033,3937,2794,3681,2206,1814,3374,3478,4129,1652,149,Uttar Pradesh-Tirwa,Tirwa
4,Geeta Devi,Aam Aadmi Party,16,24,24,18,43,23,18,8,19,19,12,26,21,18,26,20,19,37,32,30,25,20,26,16,19,15,14,24,38,24,25,24,12,26,27,17,11,1,Uttar Pradesh-Tirwa,Tirwa
5,Rajendra Kumar,Jan Adhikar Party,120,81,207,59,59,255,229,127,160,89,201,387,41,360,273,71,101,7,26,29,78,30,11,44,9,16,25,41,11,58,9,4,20,30,24,7,7,1,Uttar Pradesh-Tirwa,Tirwa
6,Rampal Singh,Aazad Samaj Party (Kanshi Ram),7,13,13,23,13,5,7,8,7,12,13,9,42,9,9,9,5,11,13,23,60,9,9,6,4,7,6,4,10,7,7,6,16,6,7,11,1,2,Uttar Pradesh-Tirwa,Tirwa
7,Ram Sharan Rajput,Vikas Insaf Party,5,4,6,3,13,7,3,5,1,7,5,2,6,3,3,8,2,3,3,6,3,0,11,6,2,1,3,1,4,7,5,13,4,3,5,6,4,0,Uttar Pradesh-Tirwa,Tirwa
8,Ruvinaj,Bhartiya Vanchitsamaj Party,1,7,6,4,9,4,5,2,7,6,7,8,3,5,12,7,0,3,2,4,4,4,1,1,2,2,4,1,5,6,1,6,8,8,3,4,1,1,Uttar Pradesh-Tirwa,Tirwa
9,Gaya Prasad,Independent,3,4,10,7,14,6,6,7,6,8,7,4,5,9,12,12,11,10,5,2,7,6,9,13,8,4,6,9,3,6,5,6,7,7,8,10,3,0,Uttar Pradesh-Tirwa,Tirwa
10,Ranjana Singh,Independent,22,29,27,26,35,25,6,14,12,20,16,17,20,29,32,34,14,26,19,24,25,13,20,22,15,14,29,17,33,20,28,17,13,33,16,20,5,1,Uttar Pradesh-Tirwa,Tirwa
11,Satya prakash,Independent,13,15,19,25,33,24,8,9,18,21,16,8,18,14,25,18,13,17,19,14,20,22,11,20,18,10,10,9,23,19,12,19,18,21,11,14,5,3,Uttar Pradesh-Tirwa,Tirwa
12,NOTA,None of the Above,24,24,33,29,52,35,27,24,34,35,30,27,23,19,30,24,30,22,40,30,32,45,23,24,39,30,39,40,30,22,29,27,38,43,29,33,8,4,Uttar Pradesh-Tirwa,Tirwa
