O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,state_city,constituency_from_link
1,Atul Singh,Indian National Congress,520,614,202,400,484,363,211,264,502,949,630,314,446,218,464,371,233,260,228,296,181,311,216,193,235,373,223,165,8,77,Uttar Pradesh-Unchahar,Unchahar
2,AMARPAL MAURYA,Bharatiya Janata Party,1693,1858,1315,1476,1769,2301,2918,2274,2696,2589,2850,2898,3318,3208,2539,3478,3067,2817,3408,2628,2658,3549,2572,2929,2496,2661,3208,3430,309,745,Uttar Pradesh-Unchahar,Unchahar
3,ANJALI MAURYA,Bahujan Samaj Party,1944,2089,1881,1927,1222,768,1321,1093,1607,884,772,1087,927,1236,985,1415,687,643,1432,1507,1277,1277,1115,953,607,945,1308,1251,52,363,Uttar Pradesh-Unchahar,Unchahar
4,Manoj Kumar Pandey,Samajwadi Party,2957,3000,2943,3377,3644,2287,3221,2676,2886,2825,3369,2705,3582,3181,3222,2686,3090,2144,2805,2597,2471,2721,2541,2846,1953,3421,2910,2955,304,809,Uttar Pradesh-Unchahar,Unchahar
5,PANKAJ KUMAR PATEL,Akhil Bhartiya Apna Dal,42,35,38,36,49,14,38,36,38,32,23,35,42,39,37,47,33,37,47,34,24,42,54,41,23,20,40,44,4,6,Uttar Pradesh-Unchahar,Unchahar
6,RAHUL SINGH,Aam Aadmi Party,13,6,7,15,14,4,8,12,17,12,7,9,18,35,71,18,16,15,10,21,11,18,18,10,8,18,16,17,0,4,Uttar Pradesh-Unchahar,Unchahar
7,AKSHAY PRATAP SINGH,Independent,17,20,14,14,14,11,14,12,14,11,15,9,13,16,13,23,18,16,20,23,18,11,19,12,15,11,27,24,3,3,Uttar Pradesh-Unchahar,Unchahar
8,AMARESH BAHADUR,Independent,43,28,31,36,30,10,25,22,20,21,16,26,5,22,20,26,15,21,22,19,27,23,25,17,12,18,28,22,3,4,Uttar Pradesh-Unchahar,Unchahar
9,AYODHYA PRASHAD,Independent,19,26,54,42,46,17,17,4,13,18,22,23,25,20,12,14,15,63,21,14,7,9,38,32,5,17,19,25,2,2,Uttar Pradesh-Unchahar,Unchahar
10,KAUSHALENDRA SINGH,Independent,31,27,21,27,32,12,38,18,23,29,19,30,28,34,17,41,27,33,23,47,22,32,29,33,22,23,35,34,2,3,Uttar Pradesh-Unchahar,Unchahar
11,Pramod Kumar,Independent,47,30,40,44,45,21,49,21,52,35,45,48,35,43,44,32,43,41,52,44,38,42,43,53,14,31,46,51,6,8,Uttar Pradesh-Unchahar,Unchahar
12,SHIV KUMAR,Independent,40,38,25,27,31,12,26,19,37,17,18,24,27,31,21,30,25,30,47,30,19,25,27,19,14,22,21,27,0,8,Uttar Pradesh-Unchahar,Unchahar
13,SHAILENDRA KUMAR GUPTA,Independent,30,37,19,33,46,24,51,59,54,35,36,50,73,42,51,46,37,46,86,63,74,115,82,78,125,125,147,106,10,36,Uttar Pradesh-Unchahar,Unchahar
14,NOTA,None of the Above,56,40,25,41,35,33,46,23,56,51,37,40,44,62,32,43,56,42,46,52,32,53,54,38,37,39,58,53,3,16,Uttar Pradesh-Unchahar,Unchahar
