O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,state_city,constituency_from_link
1,Abhinav Kumar,Samajwadi Party,3954,2821,2769,2728,2903,3666,2685,3156,2919,3011,2829,1973,2807,2258,3347,3232,2415,1694,5256,4965,4547,2907,3276,3301,3015,1734,2639,1822,3325,2834,2507,1448,Uttar Pradesh-Unnao,Unnao
2,Asha Singh,Indian National Congress,45,45,35,47,40,38,38,67,52,31,50,51,45,48,66,62,55,21,32,32,57,41,57,54,49,58,63,64,83,50,45,23,Uttar Pradesh-Unnao,Unnao
3,Devendra Singh,Bahujan Samaj Party,462,677,671,674,729,395,537,562,434,407,664,538,469,242,385,735,262,289,118,253,368,673,670,1123,629,732,595,306,212,279,263,111,Uttar Pradesh-Unnao,Unnao
4,Pankaj Gupta,Bharatiya Janata Party,4437,4060,3731,3737,3512,3971,4473,4805,4699,4596,4575,4618,4277,3859,3969,3308,4253,4093,1701,2097,3450,3609,4671,3741,4565,4725,4128,4696,4253,3919,4194,1581,Uttar Pradesh-Unnao,Unnao
5,Tanmay Srivastava,RASHTRIYA VIKLANG PARTY,124,144,111,90,106,87,109,115,171,94,89,51,42,22,35,31,31,28,16,22,89,82,71,91,60,19,26,34,53,84,38,24,Uttar Pradesh-Unnao,Unnao
6,Babita Kushwaha,Jan Abhiyan Party,27,17,16,13,22,22,15,17,22,16,17,8,11,4,14,9,3,4,3,6,15,14,21,17,13,13,7,6,11,21,26,3,Uttar Pradesh-Unnao,Unnao
7,Yuvraj Singh Chandel,Aam Aadmi Party,14,13,10,15,14,11,19,101,35,20,23,35,21,25,21,23,19,65,8,11,17,21,35,13,14,17,7,15,7,9,11,7,Uttar Pradesh-Unnao,Unnao
8,Suraj Vimal,Rashtriya Teesara Vikalp Party,25,22,24,15,12,22,22,6,25,16,17,6,8,3,5,14,4,1,2,8,16,14,18,23,10,6,4,9,12,15,2,11,Uttar Pradesh-Unnao,Unnao
9,Kamlesh Verma,Independent,23,13,15,19,13,18,21,11,19,12,11,9,6,1,12,3,1,1,4,11,42,21,25,20,10,4,6,2,9,11,4,4,Uttar Pradesh-Unnao,Unnao
10,Er. Pankaj Bajpai,Independent,82,31,16,22,19,21,22,17,23,15,13,5,4,1,8,5,2,4,4,10,26,23,21,17,23,5,4,5,6,18,7,5,Uttar Pradesh-Unnao,Unnao
11,NOTA,None of the Above,66,53,46,42,40,69,42,48,69,60,39,34,53,43,44,25,23,32,23,32,44,65,65,62,57,45,35,23,50,39,31,26,Uttar Pradesh-Unnao,Unnao
