O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,state_city,constituency_from_link
1,Kaoshik Kumar Pandey,Bahujan Samaj Party,62,81,189,145,217,501,207,260,113,262,460,447,211,122,245,74,94,123,54,53,43,50,34,35,43,84,453,94,318,210,162,601,967,Uttar Pradesh-Varanasi Cantt.,Varanasi Cantt.
2,Pooja Yadav,Samajwadi Party,4377,1276,1805,807,843,982,860,2009,1549,1405,1467,1180,3924,1919,3017,2629,910,2618,4190,1845,1334,1093,2467,1473,1713,964,995,842,1190,3091,2568,2319,915,Uttar Pradesh-Varanasi Cantt.,Varanasi Cantt.
3,Rajesh Kumar Mishra,Indian National Congress,1101,426,272,290,390,360,533,649,636,514,809,559,938,603,795,706,456,984,1502,1131,451,624,1377,1292,1834,1010,557,817,558,405,465,384,257,Uttar Pradesh-Varanasi Cantt.,Varanasi Cantt.
4,Saurabh Srivastava,Bharatiya Janata Party,2717,5706,4947,5092,5328,4680,5983,5616,5212,4889,5316,5746,2110,3303,3322,3768,6352,3898,1992,4387,6413,4759,2428,3679,2843,5220,4516,4404,5251,4649,4132,5479,3116,Uttar Pradesh-Varanasi Cantt.,Varanasi Cantt.
5,Rakesh Pandey,Aam Aadmi Party,17,39,34,24,30,33,46,46,43,48,60,49,12,14,37,20,36,20,15,24,33,30,20,28,24,33,84,51,62,32,41,47,31,Uttar Pradesh-Varanasi Cantt.,Varanasi Cantt.
6,Sheikh Ambar,Rashtriya Jantantrik Bharat Vikas Party,4,3,12,5,3,5,9,5,7,10,11,10,8,2,9,4,5,10,2,5,2,6,2,6,6,4,5,4,5,17,12,7,8,Uttar Pradesh-Varanasi Cantt.,Varanasi Cantt.
7,Shrikant Arya,Bahujan Mukti Party,2,6,22,6,11,13,20,6,13,20,15,20,19,5,7,11,15,8,1,2,9,9,2,5,2,8,5,4,11,7,11,4,10,Uttar Pradesh-Varanasi Cantt.,Varanasi Cantt.
8,Santosh Kumar Maurya,Jan Adhikar Party,11,7,79,10,21,13,8,4,14,16,13,40,23,12,26,18,12,15,11,5,6,9,3,6,2,7,3,15,13,39,28,66,4,Uttar Pradesh-Varanasi Cantt.,Varanasi Cantt.
9,Sahid Chaudhari,Independent,14,10,11,6,9,4,17,10,14,17,14,10,10,11,18,12,7,15,10,6,6,10,5,7,5,3,10,5,13,15,13,28,7,Uttar Pradesh-Varanasi Cantt.,Varanasi Cantt.
10,NOTA,None of the Above,33,50,41,35,63,55,70,51,43,58,60,57,45,41,57,43,53,70,26,21,50,51,27,31,29,45,39,45,46,51,37,54,40,Uttar Pradesh-Varanasi Cantt.,Varanasi Cantt.
