O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,state_city,constituency_from_link
1,PRASHANT SINGH,Indian National Congress,51,95,67,132,68,62,72,69,59,35,66,49,47,64,36,38,44,48,46,28,64,84,47,47,56,54,33,45,46,58,39,67,52,27,Uttar Pradesh-Vishwanath Ganj,Vishwanath Ganj
2,MAHARANI DEEN,Communist Party of India,43,66,71,63,69,61,78,89,49,78,53,49,66,70,47,39,45,56,58,39,63,68,60,51,60,33,27,48,51,40,56,40,48,33,Uttar Pradesh-Vishwanath Ganj,Vishwanath Ganj
3,SAURABH SINGH,Samajwadi Party,904,1055,1062,1086,1229,1402,726,1387,1041,1077,1162,1226,948,1268,554,1045,1561,1591,1243,1335,1624,1575,1049,999,1175,660,638,1337,620,1234,1127,1448,1360,459,Uttar Pradesh-Vishwanath Ganj,Vishwanath Ganj
4,SANJAY,Bahujan Samaj Party,233,352,485,510,642,416,532,512,555,440,764,1024,554,570,369,452,595,455,640,431,362,495,357,470,463,486,454,353,363,402,352,686,642,104,Uttar Pradesh-Vishwanath Ganj,Vishwanath Ganj
5,AJAY SHARMA,Bharatiya Sarvjan Vikas Party,54,63,57,69,66,52,57,45,42,44,45,42,51,38,51,42,25,32,30,28,51,77,44,48,57,49,39,33,36,33,27,44,45,21,Uttar Pradesh-Vishwanath Ganj,Vishwanath Ganj
6,ANIL KUMAR,Log Party,16,19,20,20,18,12,30,18,19,6,14,25,34,23,25,16,12,14,32,30,21,29,16,18,19,12,12,13,14,17,19,13,14,14,Uttar Pradesh-Vishwanath Ganj,Vishwanath Ganj
7,MOHD ASHFAQ,Jan Adhikar Party,39,186,52,48,396,272,112,393,452,407,279,603,1145,1274,1389,1006,758,469,975,1976,143,196,733,988,577,588,559,809,405,784,1085,426,466,259,Uttar Pradesh-Vishwanath Ganj,Vishwanath Ganj
8,JEET LAL,Apna Dal (Soneylal),2584,3144,2450,3118,2006,2942,3522,2898,2970,2453,3107,2636,2783,2143,2442,2585,3622,3191,3590,1760,2642,2857,2729,1878,1969,2175,2118,1821,2339,1922,2626,2283,2382,806,Uttar Pradesh-Vishwanath Ganj,Vishwanath Ganj
9,PANKAJ PAL,Aam Aadmi Party,45,73,42,45,29,44,81,90,53,41,64,39,34,32,32,25,44,33,41,21,38,39,42,58,53,50,46,41,39,27,40,50,31,22,Uttar Pradesh-Vishwanath Ganj,Vishwanath Ganj
10,RAMDARASH SAROJ,Bahujan Mukti Party,42,33,21,36,24,20,11,27,21,13,9,17,15,11,18,7,13,19,19,17,12,72,43,16,19,70,33,24,14,36,33,54,14,4,Uttar Pradesh-Vishwanath Ganj,Vishwanath Ganj
11,VINOD,Rashtriya Janshanti Party,5,19,8,7,8,5,10,6,11,9,7,4,10,11,9,15,14,7,13,7,12,16,8,15,15,3,9,5,7,9,10,14,8,5,Uttar Pradesh-Vishwanath Ganj,Vishwanath Ganj
12,SHIV MURAT RAM SMUJ SHARMA,Moulik Adhikar Party,25,36,25,18,20,14,18,16,19,24,17,24,25,15,25,20,18,19,33,15,14,30,20,16,18,13,7,13,7,20,19,23,20,5,Uttar Pradesh-Vishwanath Ganj,Vishwanath Ganj
13,SARITA PAL,Rashtra Uday Party,44,32,37,37,28,22,23,15,21,36,24,104,29,20,32,170,39,55,53,21,83,53,28,26,14,19,13,36,16,26,16,62,24,8,Uttar Pradesh-Vishwanath Ganj,Vishwanath Ganj
14,SUSHIL KUMAR,Shiv Sena,19,23,20,12,8,15,22,21,26,15,17,17,19,18,16,26,16,16,17,7,18,35,14,26,15,15,8,11,6,12,13,14,4,15,Uttar Pradesh-Vishwanath Ganj,Vishwanath Ganj
15,SUSHIL KUMAR TIWARI,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),9,23,11,20,24,15,23,13,12,17,10,19,29,24,16,18,22,11,25,19,17,23,15,18,20,18,5,14,8,16,11,13,12,6,Uttar Pradesh-Vishwanath Ganj,Vishwanath Ganj
16,MOHD KHALID,Independent,36,51,37,34,28,28,31,39,30,26,21,33,18,35,22,35,37,18,34,23,29,26,36,46,34,31,15,24,24,29,43,31,25,14,Uttar Pradesh-Vishwanath Ganj,Vishwanath Ganj
17,RAJESH,Independent,17,12,10,25,6,15,20,9,11,10,28,17,15,12,8,12,14,14,27,10,14,22,19,12,10,9,11,14,12,6,13,9,9,12,Uttar Pradesh-Vishwanath Ganj,Vishwanath Ganj
18,VISHNUDATT,Independent,15,13,46,18,6,13,12,7,7,14,13,13,5,11,8,16,15,16,10,9,10,14,16,13,11,11,10,9,11,6,14,10,4,9,Uttar Pradesh-Vishwanath Ganj,Vishwanath Ganj
19,SANJAY PANDEY,Independent,1107,867,622,943,964,483,935,544,521,571,637,581,431,614,630,554,275,219,408,360,666,1123,956,923,1074,1256,854,435,791,482,508,568,481,334,Uttar Pradesh-Vishwanath Ganj,Vishwanath Ganj
20,NOTA,None of the Above,65,82,57,78,70,56,81,35,44,59,45,56,52,48,52,51,40,27,61,39,42,84,80,88,75,82,55,33,57,41,37,56,34,32,Uttar Pradesh-Vishwanath Ganj,Vishwanath Ganj
