O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,state_city,constituency_from_link
1,LAXMI NAGAR,Indian National Congress,86,81,58,60,72,54,52,69,77,76,102,68,73,62,86,50,101,46,92,76,68,47,60,96,69,72,80,82,105,67,40,Uttar Pradesh-Zafrabad,Zafrabad
2,Dr. SANTOSH KUMAR MISHRA,Bahujan Samaj Party,1427,1478,1432,991,1890,1218,1654,1474,731,1011,1635,1077,1069,1134,991,1164,1053,650,924,1046,1083,709,635,1110,926,1210,741,1149,1575,1445,437,Uttar Pradesh-Zafrabad,Zafrabad
3,Dr. HARENDRA PRASAD SINGH,Bharatiya Janata Party,2695,2145,1800,3269,2557,1986,2378,2715,3629,3453,2851,3035,3844,2447,2663,2025,2443,3235,3171,3133,2664,2218,2947,3470,2680,3080,2710,3050,2362,1838,1543,Uttar Pradesh-Zafrabad,Zafrabad
4,JAGDISH NARAYAN,Suheldev Bharatiya Samaj Party,2468,3323,3331,2991,3471,4176,4480,3047,2331,3254,3751,3713,2286,2339,2857,3940,2854,2497,2473,1962,2791,3012,2722,2408,2384,2020,2660,2963,2214,3111,1665,Uttar Pradesh-Zafrabad,Zafrabad
5,BRIJESH KUMAR,Jan Adhikar Party,53,60,495,91,49,61,93,66,45,148,169,64,53,43,54,197,195,48,51,58,71,57,41,35,39,44,89,62,54,49,21,Uttar Pradesh-Zafrabad,Zafrabad
6,RAKESH CHAUHAN,Aam Janta Party (India),20,31,25,20,16,20,17,20,32,22,18,18,27,6,20,12,18,11,18,19,25,23,27,20,15,28,47,28,16,12,99,Uttar Pradesh-Zafrabad,Zafrabad
7,VIJAY KUMAR PATHAK,Aam Aadmi Party,23,27,31,16,19,26,18,25,25,20,13,16,22,32,12,13,15,21,24,21,28,12,21,14,16,14,9,18,19,19,9,Uttar Pradesh-Zafrabad,Zafrabad
8,SANTOSH KUMAR SINGH,Bharatiya Nav Kranti Party,23,31,41,23,26,38,26,25,17,19,23,33,22,16,22,26,20,24,27,30,19,26,24,20,21,23,22,25,21,18,21,Uttar Pradesh-Zafrabad,Zafrabad
9,SANJEEV KUMAR UPADHYAY,Rashtriya Jan Gaurav Party,32,31,45,38,30,28,27,17,34,31,27,31,37,15,25,15,33,39,40,24,21,19,42,33,25,33,22,24,17,15,10,Uttar Pradesh-Zafrabad,Zafrabad
10,ABHISHEK SINGH (SONU),Independent,156,116,174,138,115,148,131,130,92,128,134,137,111,82,81,105,180,134,130,84,113,116,100,132,184,146,107,110,105,118,44,Uttar Pradesh-Zafrabad,Zafrabad
11,NOTA,None of the Above,54,59,69,41,58,65,58,68,44,70,56,60,39,30,31,47,51,50,48,57,47,47,33,64,49,68,31,56,33,41,25,Uttar Pradesh-Zafrabad,Zafrabad
