O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,state_city,constituency_from_link
1,KALICHARAN,Bharatiya Janata Party,2113,2272,1817,2182,2399,1238,3064,2863,1889,3001,2561,1819,3072,1775,1671,1623,1144,1899,1472,3069,1006,1541,1807,1766,1863,1659,1720,2522,2633,2670,2416,2467,1238,669,Uttar Pradesh-Zahoorabad,Zahoorabad
2,SAIYYADA SHADAB FATIMA,Bahujan Samaj Party,2512,856,1844,1935,2092,1669,1236,1707,1617,1338,1346,1686,1715,2252,1442,1845,2082,1420,1249,1410,2668,1693,1727,1287,1260,1194,1593,1600,1746,1333,1512,1062,905,52,Uttar Pradesh-Zahoorabad,Zahoorabad
3,GYAN PRAKASH,Indian National Congress,58,37,41,56,47,37,81,46,33,24,45,40,63,183,28,27,27,35,25,46,31,38,42,19,31,37,28,38,77,34,54,71,41,26,Uttar Pradesh-Zahoorabad,Zahoorabad
4,ARVIND,Bhartiya Jan Nayak Party,11,12,6,6,9,11,14,13,14,11,12,8,4,22,7,8,9,7,6,17,8,9,11,12,19,8,14,12,8,15,19,5,13,3,Uttar Pradesh-Zahoorabad,Zahoorabad
5,ARVIND VARMA,Janata Dal (United),38,33,43,31,37,31,40,29,49,38,38,32,25,41,29,29,26,27,43,57,28,52,47,27,99,45,22,49,43,45,48,56,36,9,Uttar Pradesh-Zahoorabad,Zahoorabad
6,OM PRAKASH RAJBHAR,Suheldev Bharatiya Samaj Party,4210,4283,3547,2724,3367,3857,3909,2500,3806,2464,3387,3274,3263,3728,3882,2836,3492,3175,3875,2752,3354,3620,3591,3124,4618,3721,2833,3098,3681,3632,3529,3346,3286,387,Uttar Pradesh-Zahoorabad,Zahoorabad
7,JAI RAM,All India Forward Bloc,26,29,15,16,30,31,25,26,29,39,31,23,21,25,13,18,26,24,24,24,21,16,21,22,39,29,21,21,32,21,35,25,30,6,Uttar Pradesh-Zahoorabad,Zahoorabad
8,MAHESH SINGH CHAUHAN,Rashtriya Lok Janta Party,16,17,9,11,10,6,13,17,18,9,14,8,14,16,23,14,9,12,9,11,6,17,17,34,40,26,27,17,18,13,13,10,6,3,Uttar Pradesh-Zahoorabad,Zahoorabad
9,RAMPRAVESH,Marxist Communist Party of India (United),10,16,10,7,11,12,4,9,12,9,9,10,10,18,16,12,16,9,9,14,3,14,7,6,14,18,11,14,18,14,14,10,8,3,Uttar Pradesh-Zahoorabad,Zahoorabad
10,LALMOHAR,Sarv Rajya Party,20,13,15,3,14,13,6,9,16,11,11,9,6,5,7,8,6,4,15,4,4,12,6,5,18,10,13,9,14,14,10,12,11,2,Uttar Pradesh-Zahoorabad,Zahoorabad
11,SHIVPUJAN,Aam Aadmi Party,14,15,15,20,26,14,14,27,16,22,20,7,10,15,12,14,12,8,20,13,8,20,22,17,22,16,18,24,25,19,10,17,21,7,Uttar Pradesh-Zahoorabad,Zahoorabad
12,SHAUKAT ALI,All India Majlis-E-Ittehadul Muslimeen,11,25,27,19,18,267,112,17,34,13,14,9,13,12,46,153,54,14,8,31,17,56,13,58,16,69,15,131,17,30,39,37,120,9,Uttar Pradesh-Zahoorabad,Zahoorabad
13,SATYAA DEV SINGH,Rashtrawadi Janlok Party (Satya),27,19,16,21,29,26,24,24,14,23,38,14,29,26,12,30,30,11,22,28,14,35,21,22,18,18,36,25,38,32,28,31,25,7,Uttar Pradesh-Zahoorabad,Zahoorabad
14,NOTA,None of the Above,56,62,44,52,69,33,54,46,47,72,73,46,56,60,54,47,40,44,42,56,43,61,49,46,58,71,58,66,52,54,80,73,47,21,Uttar Pradesh-Zahoorabad,Zahoorabad
